kaliwanu kali(V6)+wa_#_PAST+anu_a_3SM   
kaliyuvuxakkosuga kali(V6)+yuvuxu_#_DAT+xakkosuga_xu_BEN
kaliyuvuxakkosuga kali(V6)+yuvuxu_#_DAT+xakkosuga_xu_PUR
kaliyuvuxakkiwa kali(V6)+yuvuxu_#_DAT+xakkiwa_xu_COMP
kaliyuvaMweV kali(V6)+yuvaMweV_#_SIM
kaliyuvawa kali(V6)+yuvawa_#_SIM
kaliyuvawaha kali(V6)+yuvawaha_#_SIM
kaliyuvuxaroVdaneV kali(V6)+yuvuxu_#_GEN+xaroVdaneV_xu_SOC
kaliyuvavanannu kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nannu_nu_3SM
kaliyuvavanannA kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nannA_nu_INTR
kaliyuvavanannU kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nannU_nu_INCL
kaliyuvavananno kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nanno_nu_DUB
kaliyuvavananno kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nanno_nu_INDF
kaliyuvavananno kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nanno_nu_PRES
kaliyuvavananne kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nanne_nu_IMPH
kaliyuvavananne kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nanne_nu_DECL
kaliyuvavananne kali(V6)+yuva_#_PRP+yuvavanu_yuva_ACC+nanne_nu_RIS
kaliyuvavakalixa kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixa_nu_3SM
kaliyuvavakalixaya kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixaya_nu_INTR
kaliyuvavakalixalU kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixalU_nu_INCL
kaliyuvavakalixalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixalo_nu_DUB
kaliyuvavakalixalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixalo_nu_INDF
kaliyuvavakalixalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixalo_nu_PRES
kaliyuvavakalixale kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixale_nu_IMPH
kaliyuvavakalixale kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixale_nu_DECL
kaliyuvavakalixale kali(V6)+yuva_#_PRP+yuvavanu_yuva_INS+kalixale_nu_RIS
kaliyuvavanigeV kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeV_nu_3SM
kaliyuvavanigeVyA kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVyA_nu_INTR
kaliyuvavanigeVyU kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVyU_nu_INCL
kaliyuvavanigeVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVyo_nu_DUB
kaliyuvavanigeVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVyo_nu_INDF
kaliyuvavanigeVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVyo_nu_PRES
kaliyuvavanigeVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVye_nu_IMPH
kaliyuvavanigeVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVye_nu_DECL
kaliyuvavanigeVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_DAT+nigeVye_nu_RIS
kaliyuvavakalixa  kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixa_nu_3SM
kaliyuvavakalixaya kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixaya_nu_INTR
kaliyuvavakalixalU kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixalU_nu_INCL
kaliyuvavakalixalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixalo_nu_DUB
kaliyuvavakalixalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixalo_nu_INDF
kaliyuvavakalixalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixalo_nu_PRES
kaliyuvavakalixale kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixale_nu_IMPH
kaliyuvavakalixale kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixale_nu_DECL
kaliyuvavakalixale kali(V6)+yuva_#_PRP+yuvavanu_yuva_ABL+kalixale_nu_RIS
kaliyuvavana kali(V6)+yuva_#_PRP+yuvavanu_yuva_GEN+na_nu_3SM
kaliyuvavanalli kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalli_nu_3SM
kaliyuvavanalliyA kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliyA_nu_INTR
kaliyuvavanalliyU kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliyU_nu_INCL
kaliyuvavanalliyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliyo_nu_DUB
kaliyuvavanalliyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliyo_nu_INDF
kaliyuvavanalliyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliyo_nu_PRES
kaliyuvavanalliye kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliye_nu_IMPH
kaliyuvavanalliye kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliye_nu_DECL
kaliyuvavanalliye kali(V6)+yuva_#_PRP+yuvavanu_yuva_LOC+nalliye_nu_RIS
kaliyuvavanigoskara kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskara_nu_3SM
kaliyuvavanigoskarayuva kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskarayuva_nu_INTR
kaliyuvavanigoskaravU kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskaravU_nu_INCL
kaliyuvavanigoskaravo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskaravo_nu_DUB
kaliyuvavanigoskaravo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskaravo_nu_INDF
kaliyuvavanigoskaravo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskaravo_nu_PRES
kaliyuvavanigoskarave kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskarave_nu_IMPH
kaliyuvavanigoskarave kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskarave_nu_DECL
kaliyuvavanigoskarave kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigoskarave_nu_RIS
kaliyuvavanigoskara kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskara_nu_3SM
kaliyuvavanigoskarayuva kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskarayuva_nu_INTR
kaliyuvavanigoskaravU kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskaravU_nu_INCL
kaliyuvavanigoskaravo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskaravo_nu_DUB
kaliyuvavanigoskaravo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskaravo_nu_INDF
kaliyuvavanigoskaravo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskaravo_nu_PRES
kaliyuvavanigoskarave kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskarave_nu_IMPH
kaliyuvavanigoskarave kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskarave_nu_DECL
kaliyuvavanigoskarave kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigoskarave_nu_RIS
kaliyuvavanigAgi kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgi_nu_3SM
kaliyuvavanigAgiyA kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiyA_nu_INTR
kaliyuvavanigAgiyU kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiyU_nu_INCL
kaliyuvavanigAgiyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiyo_nu_DUB
kaliyuvavanigAgiyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiyo_nu_INDF
kaliyuvavanigAgiyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiyo_nu_PRES
kaliyuvavanigAgiye kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiye_nu_IMPH
kaliyuvavanigAgiye kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiye_nu_DECL
kaliyuvavanigAgiye kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigAgiye_nu_RIS
kaliyuvavanigAgi kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgi_nu_3SM
kaliyuvavanigAgiyA kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiyA_nu_INTR
kaliyuvavanigAgiyU kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiyU_nu_INCL
kaliyuvavanigAgiyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiyo_nu_DUB
kaliyuvavanigAgiyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiyo_nu_INDF
kaliyuvavanigAgiyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiyo_nu_PRES
kaliyuvavanigAgiye kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiye_nu_IMPH
kaliyuvavanigAgiye kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiye_nu_DECL
kaliyuvavanigAgiye kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigAgiye_nu_RIS
kaliyuvavanigosuga kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosuga_nu_3SM
kaliyuvavanigosugayuva kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugayuva_nu_INTR
kaliyuvavanigosugavU kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugavU_nu_INCL
kaliyuvavanigosugavo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugavo_nu_DUB
kaliyuvavanigosugavo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugavo_nu_INDF
kaliyuvavanigosugavo kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugavo_nu_PRES
kaliyuvavanigosugave kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugave_nu_IMPH
kaliyuvavanigosugave kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugave_nu_DECL
kaliyuvavanigosugave kali(V6)+yuva_#_PRP+yuvavanu_yuva_BEN+nigosugave_nu_RIS
kaliyuvavanigosuga kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosuga_nu_3SM
kaliyuvavanigosugayuva kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugayuva_nu_INTR
kaliyuvavanigosugavU kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugavU_nu_INCL
kaliyuvavanigosugavo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugavo_nu_DUB
kaliyuvavanigosugavo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugavo_nu_INDF
kaliyuvavanigosugavo kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugavo_nu_PRES
kaliyuvavanigosugave kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugave_nu_IMPH
kaliyuvavanigosugave kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugave_nu_DECL
kaliyuvavanigosugave kali(V6)+yuva_#_PRP+yuvavanu_yuva_PUR+nigosugave_nu_RIS
kaliyuvavanigiwa kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwa_nu_3SM
kaliyuvavanigiwaya kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwaya_nu_INTR
kaliyuvavanigiwalU kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwalU_nu_INCL
kaliyuvavanigiwalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwalo_nu_DUB
kaliyuvavanigiwalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwalo_nu_INDF
kaliyuvavanigiwalo kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwalo_nu_PRES
kaliyuvavanigiwale kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwale_nu_IMPH
kaliyuvavanigiwale kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwale_nu_DECL
kaliyuvavanigiwale kali(V6)+yuva_#_PRP+yuvavanu_yuva_COMP+nigiwale_nu_RIS
kaliyuvavanaMweV kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweV_nu_3SM
kaliyuvavanaMweVyA kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVyA_nu_INTR
kaliyuvavanaMweVyU kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVyU_nu_INCL
kaliyuvavanaMweVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVyo_nu_DUB
kaliyuvavanaMweVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVyo_nu_INDF
kaliyuvavanaMweVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVyo_nu_PRES
kaliyuvavanaMweVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVye_nu_IMPH
kaliyuvavanaMweVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVye_nu_DECL
kaliyuvavanaMweVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SIM+naMweVye_nu_RIS
kaliyuvavanoVdaneV kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneV_nu_3SM
kaliyuvavanoVdaneVyA kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVyA_nu_INTR
kaliyuvavanoVdaneVyU kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVyU_nu_INCL
kaliyuvavanoVdaneVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVyo_nu_DUB
kaliyuvavanoVdaneVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVyo_nu_INDF
kaliyuvavanoVdaneVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVyo_nu_PRES
kaliyuvavanoVdaneVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVye_nu_IMPH
kaliyuvavanoVdaneVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVye_nu_DECL
kaliyuvavanoVdaneVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVdaneVye_nu_RIS
kaliyuvavanoVMxigeV kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeV_nu_3SM
kaliyuvavanoVMxigeVyA kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVyA_nu_INTR
kaliyuvavanoVMxigeVyU kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVyU_nu_INCL
kaliyuvavanoVMxigeVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVyo_nu_DUB
kaliyuvavanoVMxigeVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVyo_nu_INDF
kaliyuvavanoVMxigeVyo kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVyo_nu_PRES
kaliyuvavanoVMxigeVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVye_nu_IMPH
kaliyuvavanoVMxigeVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVye_nu_DECL
kaliyuvavanoVMxigeVye kali(V6)+yuva_#_PRP+yuvavanu_yuva_SOC+noVMxigeVye_nu_RIS
kaliyuvavalYannu kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYannu_lYu_3SF
kaliyuvavalYannA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYannA_lYu_INTR
kaliyuvavalYannU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYannU_lYu_INCL
kaliyuvavalYanno kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYanno_lYu_DUB
kaliyuvavalYanno kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYanno_lYu_INDF
kaliyuvavalYanno kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYanno_lYu_PRES
kaliyuvavalYanne kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYanne_lYu_IMPH
kaliyuvavalYanne kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYanne_lYu_DECL
kaliyuvavalYanne kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ACC+lYanne_lYu_RIS
kaliyuvavalYiMxa kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxa_lYu_3SF
kaliyuvavalYiMxaya kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxaya_lYu_INTR
kaliyuvavalYiMxalU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxalU_lYu_INCL
kaliyuvavalYiMxalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxalo_lYu_DUB
kaliyuvavalYiMxalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxalo_lYu_INDF
kaliyuvavalYiMxalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxalo_lYu_PRES
kaliyuvavalYiMxale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxale_lYu_IMPH
kaliyuvavalYiMxale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxale_lYu_DECL
kaliyuvavalYiMxale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_INS+lYiMxale_lYu_RIS
kaliyuvavalYigeV kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeV_lYu_3SF
kaliyuvavalYigeVyA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVyA_lYu_INTR
kaliyuvavalYigeVyU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVyU_lYu_INCL
kaliyuvavalYigeVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVyo_lYu_DUB
kaliyuvavalYigeVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVyo_lYu_INDF
kaliyuvavalYigeVyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVyo_lYu_PRES
kaliyuvavalYigeVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVye_lYu_IMPH
kaliyuvavalYigeVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVye_lYu_DECL
kaliyuvavalYigeVye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_DAT+lYigeVye_lYu_RIS
kaliyuvavalYiMxa  kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxa_lYu_3SF
kaliyuvavalYiMxaya kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxaya_lYu_INTR
kaliyuvavalYiMxalU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxalU_lYu_INCL
kaliyuvavalYiMxalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxalo_lYu_DUB
kaliyuvavalYiMxalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxalo_lYu_INDF
kaliyuvavalYiMxalo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxalo_lYu_PRES
kaliyuvavalYiMxale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxale_lYu_IMPH
kaliyuvavalYiMxale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxale_lYu_DECL
kaliyuvavalYiMxale kali(V6)+yuva_#_PRP+yuvavalYu_yuva_ABL+lYiMxale_lYu_RIS
kaliyuvavalYa kali(V6)+yuva_#_PRP+yuvavalYu_yuva_GEN+lYa_lYu_3SF
kaliyuvavalYalli kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalli_lYu_3SF
kaliyuvavalYalliyA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliyA_lYu_INTR
kaliyuvavalYalliyU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliyU_lYu_INCL
kaliyuvavalYalliyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliyo_lYu_DUB
kaliyuvavalYalliyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliyo_lYu_INDF
kaliyuvavalYalliyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliyo_lYu_PRES
kaliyuvavalYalliye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliye_lYu_IMPH
kaliyuvavalYalliye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliye_lYu_DECL
kaliyuvavalYalliye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_LOC+lYalliye_lYu_RIS
kaliyuvavalYigoskara kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskara_lYu_3SF
kaliyuvavalYigoskarayuva kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskarayuva_lYu_INTR
kaliyuvavalYigoskaravU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskaravU_lYu_INCL
kaliyuvavalYigoskaravo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskaravo_lYu_DUB
kaliyuvavalYigoskaravo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskaravo_lYu_INDF
kaliyuvavalYigoskaravo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskaravo_lYu_PRES
kaliyuvavalYigoskarave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskarave_lYu_IMPH
kaliyuvavalYigoskarave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskarave_lYu_DECL
kaliyuvavalYigoskarave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigoskarave_lYu_RIS
kaliyuvavalYigoskara kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskara_lYu_3SF
kaliyuvavalYigoskarayuva kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskarayuva_lYu_INTR
kaliyuvavalYigoskaravU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskaravU_lYu_INCL
kaliyuvavalYigoskaravo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskaravo_lYu_DUB
kaliyuvavalYigoskaravo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskaravo_lYu_INDF
kaliyuvavalYigoskaravo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskaravo_lYu_PRES
kaliyuvavalYigoskarave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskarave_lYu_IMPH
kaliyuvavalYigoskarave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskarave_lYu_DECL
kaliyuvavalYigoskarave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigoskarave_lYu_RIS
kaliyuvavalYigAgi kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgi_lYu_3SF
kaliyuvavalYigAgiyA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiyA_lYu_INTR
kaliyuvavalYigAgiyU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiyU_lYu_INCL
kaliyuvavalYigAgiyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiyo_lYu_DUB
kaliyuvavalYigAgiyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiyo_lYu_INDF
kaliyuvavalYigAgiyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiyo_lYu_PRES
kaliyuvavalYigAgiye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiye_lYu_IMPH
kaliyuvavalYigAgiye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiye_lYu_DECL
kaliyuvavalYigAgiye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigAgiye_lYu_RIS
kaliyuvavalYigAgi kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgi_lYu_3SF
kaliyuvavalYigAgiyA kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiyA_lYu_INTR
kaliyuvavalYigAgiyU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiyU_lYu_INCL
kaliyuvavalYigAgiyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiyo_lYu_DUB
kaliyuvavalYigAgiyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiyo_lYu_INDF
kaliyuvavalYigAgiyo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiyo_lYu_PRES
kaliyuvavalYigAgiye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiye_lYu_IMPH
kaliyuvavalYigAgiye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiye_lYu_DECL
kaliyuvavalYigAgiye kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigAgiye_lYu_RIS
kaliyuvavalYigosuga kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosuga_lYu_3SF
kaliyuvavalYigosugayuva kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugayuva_lYu_INTR
kaliyuvavalYigosugavU kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugavU_lYu_INCL
kaliyuvavalYigosugavo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugavo_lYu_DUB
kaliyuvavalYigosugavo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugavo_lYu_INDF
kaliyuvavalYigosugavo kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugavo_lYu_PRES
kaliyuvavalYigosugave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugave_lYu_IMPH
kaliyuvavalYigosugave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugave_lYu_DECL
kaliyuvavalYigosugave kali(V6)+yuva_#_PRP+yuvavalYu_yuva_BEN+lYigosugave_lYu_RIS
kaliyuvavalYigosuga kali(V6)+yuva_#_PRP+yuvavalYu_yuva_PUR+lYigosuga_lYu_3SF
