suttanu sudu(V22)+tta_du_PAST+anu_a_3SM   
suduvavaniMxalo sudu(V22)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
suduvavaniMxalo sudu(V22)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
suduvavaniMxale sudu(V22)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
suduvavaniMxale sudu(V22)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
suduvavaniMxale sudu(V22)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
suduvavanigeV sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
suduvavanigeVyA sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
suduvavanigeVyU sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
suduvavanigeVyo sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
suduvavanigeVyo sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
suduvavanigeVyo sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
suduvavanigeVye sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
suduvavanigeVye sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
suduvavanigeVye sudu(V22)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
suduvavaniMxa  sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
suduvavaniMxalA sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
suduvavaniMxalU sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
suduvavaniMxalo sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
suduvavaniMxalo sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
suduvavaniMxalo sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
suduvavaniMxale sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
suduvavaniMxale sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
suduvavaniMxale sudu(V22)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
suduvavana sudu(V22)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
suduvavanalli sudu(V22)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
suduvavanalliyA sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
suduvavanalliyU sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
suduvavanalliyo sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
suduvavanalliyo sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
suduvavanalliyo sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
suduvavanalliye sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
suduvavanalliye sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
suduvavanalliye sudu(V22)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
suduvavanigoskara sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
suduvavanigoskaravA sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
suduvavanigoskaravU sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
suduvavanigoskaravo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
suduvavanigoskaravo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
suduvavanigoskaravo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
suduvavanigoskarave sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
suduvavanigoskarave sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
suduvavanigoskarave sudu(V22)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
suduvavanigoskara sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
suduvavanigoskaravA sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
suduvavanigoskaravU sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
suduvavanigoskaravo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
suduvavanigoskaravo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
suduvavanigoskaravo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
suduvavanigoskarave sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
suduvavanigoskarave sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
suduvavanigoskarave sudu(V22)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
suduvavanigAgi sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
suduvavanigAgiyA sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
suduvavanigAgiyU sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
suduvavanigAgiyo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
suduvavanigAgiyo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
suduvavanigAgiyo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
suduvavanigAgiye sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
suduvavanigAgiye sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
suduvavanigAgiye sudu(V22)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
suduvavanigAgi sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
suduvavanigAgiyA sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
suduvavanigAgiyU sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
suduvavanigAgiyo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
suduvavanigAgiyo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
suduvavanigAgiyo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
suduvavanigAgiye sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
suduvavanigAgiye sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
suduvavanigAgiye sudu(V22)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
suduvavanigosuga sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
suduvavanigosugavA sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
suduvavanigosugavU sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
suduvavanigosugavo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
suduvavanigosugavo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
suduvavanigosugavo sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
suduvavanigosugave sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
suduvavanigosugave sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
suduvavanigosugave sudu(V22)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
suduvavanigosuga sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
suduvavanigosugavA sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
suduvavanigosugavU sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
suduvavanigosugavo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
suduvavanigosugavo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
suduvavanigosugavo sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
suduvavanigosugave sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
suduvavanigosugave sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
suduvavanigosugave sudu(V22)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
suduvavanigiMwa sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
suduvavanigiMwalA sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
suduvavanigiMwalU sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
suduvavanigiMwalo sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
suduvavanigiMwalo sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
suduvavanigiMwalo sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
suduvavanigiMwale sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
suduvavanigiMwale sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
suduvavanigiMwale sudu(V22)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
suduvavanaMweV sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
suduvavanaMweVyA sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
suduvavanaMweVyU sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
suduvavanaMweVyo sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
suduvavanaMweVyo sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
suduvavanaMweVyo sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
suduvavanaMweVye sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
suduvavanaMweVye sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
suduvavanaMweVye sudu(V22)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
suduvavanoVdaneV sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
suduvavanoVdaneVyA sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
suduvavanoVdaneVyU sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
suduvavanoVdaneVyo sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
suduvavanoVdaneVyo sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
suduvavanoVdaneVyo sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
suduvavanoVdaneVye sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
suduvavanoVdaneVye sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
suduvavanoVdaneVye sudu(V22)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
suduvavanoVMxigeV sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
suduvavanoVMxigeVyA sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
suduvavanoVMxigeVyU sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
suduvavanoVMxigeVyo sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
suduvavanoVMxigeVyo sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
suduvavanoVMxigeVyo sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
suduvavanoVMxigeVye sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
suduvavanoVMxigeVye sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
suduvavanoVMxigeVye sudu(V22)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
suduvavalYannu sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
suduvavalYannA sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
suduvavalYannU sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
suduvavalYanno sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
suduvavalYanno sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
suduvavalYanno sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
suduvavalYanne sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
suduvavalYanne sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
suduvavalYanne sudu(V22)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
suduvavalYiMxa sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
suduvavalYiMxalA sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
suduvavalYiMxalU sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
suduvavalYiMxalo sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
suduvavalYiMxalo sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
suduvavalYiMxalo sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
suduvavalYiMxale sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
suduvavalYiMxale sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
suduvavalYiMxale sudu(V22)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
suduvavalYigeV sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
suduvavalYigeVyA sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
suduvavalYigeVyU sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
suduvavalYigeVyo sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
suduvavalYigeVyo sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
suduvavalYigeVyo sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
suduvavalYigeVye sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
suduvavalYigeVye sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
suduvavalYigeVye sudu(V22)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
suduvavalYiMxa  sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
suduvavalYiMxalA sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
suduvavalYiMxalU sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
suduvavalYiMxalo sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
suduvavalYiMxalo sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
suduvavalYiMxalo sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
suduvavalYiMxale sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
suduvavalYiMxale sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
suduvavalYiMxale sudu(V22)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
suduvavalYa sudu(V22)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
suduvavalYalli sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
suduvavalYalliyA sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
suduvavalYalliyU sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
suduvavalYalliyo sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
suduvavalYalliyo sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
suduvavalYalliyo sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
suduvavalYalliye sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
suduvavalYalliye sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
suduvavalYalliye sudu(V22)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
suduvavalYigoskara sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
suduvavalYigoskaravA sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
suduvavalYigoskaravU sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
suduvavalYigoskaravo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
suduvavalYigoskaravo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
suduvavalYigoskaravo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
suduvavalYigoskarave sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
suduvavalYigoskarave sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
suduvavalYigoskarave sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
suduvavalYigoskara sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
suduvavalYigoskaravA sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
suduvavalYigoskaravU sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
suduvavalYigoskaravo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
suduvavalYigoskaravo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
suduvavalYigoskaravo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
suduvavalYigoskarave sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
suduvavalYigoskarave sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
suduvavalYigoskarave sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
suduvavalYigAgi sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
suduvavalYigAgiyA sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
suduvavalYigAgiyU sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
suduvavalYigAgiyo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
suduvavalYigAgiyo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
suduvavalYigAgiyo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
suduvavalYigAgiye sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
suduvavalYigAgiye sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
suduvavalYigAgiye sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
suduvavalYigAgi sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
suduvavalYigAgiyA sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
suduvavalYigAgiyU sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
suduvavalYigAgiyo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
suduvavalYigAgiyo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
suduvavalYigAgiyo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
suduvavalYigAgiye sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
suduvavalYigAgiye sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
suduvavalYigAgiye sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
suduvavalYigosuga sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
suduvavalYigosugavA sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
suduvavalYigosugavU sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
suduvavalYigosugavo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
suduvavalYigosugavo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
suduvavalYigosugavo sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
suduvavalYigosugave sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
suduvavalYigosugave sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
suduvavalYigosugave sudu(V22)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
suduvavalYigosuga sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
suduvavalYigosugavA sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
suduvavalYigosugavU sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
suduvavalYigosugavo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
suduvavalYigosugavo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
suduvavalYigosugavo sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
suduvavalYigosugave sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
suduvavalYigosugave sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
suduvavalYigosugave sudu(V22)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
suduvavalYigiMwa sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
suduvavalYigiMwalA sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
suduvavalYigiMwalU sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
suduvavalYigiMwalo sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
suduvavalYigiMwalo sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
suduvavalYigiMwalo sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
suduvavalYigiMwale sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
suduvavalYigiMwale sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
suduvavalYigiMwale sudu(V22)+va_#_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
suduvavalYaMweV sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
suduvavalYaMweVyA sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
suduvavalYaMweVyU sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
suduvavalYaMweVyo sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
suduvavalYaMweVyo sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
suduvavalYaMweVyo sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
suduvavalYaMweVye sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
suduvavalYaMweVye sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
suduvavalYaMweVye sudu(V22)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
suduvavalYoVdaneV sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
suduvavalYoVdaneVyA sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
suduvavalYoVdaneVyU sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
suduvavalYoVdaneVyo sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
suduvavalYoVdaneVyo sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
suduvavalYoVdaneVyo sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
suduvavalYoVdaneVye sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
suduvavalYoVdaneVye sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
suduvavalYoVdaneVye sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
suduvavalYoVMxigeV  sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
suduvavalYoVMxigeVyA sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
suduvavalYoVMxigeVyU sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
suduvavalYoVMxigeVyo sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
suduvavalYoVMxigeVyo sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
suduvavalYoVMxigeVyo sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
suduvavalYoVMxigeVye sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
suduvavalYoVMxigeVye sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
suduvavalYoVMxigeVye sudu(V22)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
suduvavarannu sudu(V22)+va_#_PRP+vavaru_va_ACC+rannu_ru_3P
suduvavarannA sudu(V22)+va_#_PRP+vavaru_va_ACC+rannA_ru_INTR
suduvavarannU sudu(V22)+va_#_PRP+vavaru_va_ACC+rannU_ru_INCL
