sawwanu sAyu(V2)+awwa_Ayu_PAST+anu_a_3SM   
sAyalpattalliyU sAyu(V2)+alpattalliyU_u_INCL
sAyuvuxannu sAyu(V2)+vuxannu_#_ACC
sAyuvuxariMxa sAyu(V2)+vuxariMxa_#_INS
sAyuvuxakkeV sAyu(V2)+vuxakkeV_#_DAT
sAyuvuxariMxa sAyu(V2)+vuxariMxa_#_ABL
sAyuvuxara sAyu(V2)+vuxara_#_GEN
sAyuvuxaralli sAyu(V2)+vuxaralli_#_LOC
sAyuvuxakkoskara sAyu(V2)+vuxu_#_DAT+xakkoskara_xu_BEN
sAyuvuxakkoskara sAyu(V2)+vuxu_#_DAT+xakkoskara_xu_PUR
sAyuvuxakkAgi sAyu(V2)+vuxu_#_DAT+xakkAgi_xu_BEN
sAyuvuxakkAgi sAyu(V2)+vuxu_#_DAT+xakkAgi_xu_PUR
sAyuvuxakkosuga sAyu(V2)+vuxu_#_DAT+xakkosuga_xu_BEN
sAyuvuxakkosuga sAyu(V2)+vuxu_#_DAT+xakkosuga_xu_PUR
sAyuvuxakkiMwa sAyu(V2)+vuxu_#_DAT+xakkiMwa_xu_COMP
sAyuvaMweV sAyu(V2)+vaMweV_#_SIM
sAyuvaMwa sAyu(V2)+vaMwa_#_SIM
sAyuvaMwaha sAyu(V2)+vaMwaha_#_SIM
sAyuvuxaroVdaneV sAyu(V2)+vuxu_#_GEN+xaroVdaneV_xu_SOC
sAyuvuxaroVMxigeV sAyu(V2)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
sAyuvavanannu sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nannu_nu_3SM
sAyuvavanannA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nannA_nu_INTR
sAyuvavanannU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nannU_nu_INCL
sAyuvavananno sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nanno_nu_DUB
sAyuvavananno sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nanno_nu_INDF
sAyuvavananno sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nanno_nu_PRES
sAyuvavananne sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nanne_nu_IMPH
sAyuvavananne sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nanne_nu_DECL
sAyuvavananne sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ACC+nanne_nu_RIS
sAyuvavaniMxa sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxa_nu_3SM
sAyuvavaniMxalA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxalA_nu_INTR
sAyuvavaniMxalU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxalU_nu_INCL
sAyuvavaniMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxalo_nu_DUB
sAyuvavaniMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxalo_nu_INDF
sAyuvavaniMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxalo_nu_PRES
sAyuvavaniMxale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxale_nu_IMPH
sAyuvavaniMxale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxale_nu_DECL
sAyuvavaniMxale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_INS+niMxale_nu_RIS
sAyuvavanigeV sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeV_nu_3SM
sAyuvavanigeVyA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
sAyuvavanigeVyU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
sAyuvavanigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
sAyuvavanigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
sAyuvavanigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
sAyuvavanigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
sAyuvavanigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVye_nu_DECL
sAyuvavanigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_DAT+nigeVye_nu_RIS
sAyuvavaniMxa  sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxa_nu_3SM
sAyuvavaniMxalA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxalA_nu_INTR
sAyuvavaniMxalU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxalU_nu_INCL
sAyuvavaniMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxalo_nu_DUB
sAyuvavaniMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxalo_nu_INDF
sAyuvavaniMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxalo_nu_PRES
sAyuvavaniMxale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxale_nu_IMPH
sAyuvavaniMxale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxale_nu_DECL
sAyuvavaniMxale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_ABL+niMxale_nu_RIS
sAyuvavana sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_GEN+na_nu_3SM
sAyuvavanalli sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalli_nu_3SM
sAyuvavanalliyA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliyA_nu_INTR
sAyuvavanalliyU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliyU_nu_INCL
sAyuvavanalliyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliyo_nu_DUB
sAyuvavanalliyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliyo_nu_INDF
sAyuvavanalliyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliyo_nu_PRES
sAyuvavanalliye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliye_nu_IMPH
sAyuvavanalliye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliye_nu_DECL
sAyuvavanalliye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_LOC+nalliye_nu_RIS
sAyuvavanigoskara sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskara_nu_3SM
sAyuvavanigoskaravA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
sAyuvavanigoskaravU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
sAyuvavanigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
sAyuvavanigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
sAyuvavanigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
sAyuvavanigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
sAyuvavanigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
sAyuvavanigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
sAyuvavanigoskara sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskara_nu_3SM
sAyuvavanigoskaravA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
sAyuvavanigoskaravU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
sAyuvavanigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
sAyuvavanigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
sAyuvavanigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
sAyuvavanigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
sAyuvavanigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
sAyuvavanigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
sAyuvavanigAgi sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgi_nu_3SM
sAyuvavanigAgiyA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
sAyuvavanigAgiyU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
sAyuvavanigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
sAyuvavanigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
sAyuvavanigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
sAyuvavanigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
sAyuvavanigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
sAyuvavanigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
sAyuvavanigAgi sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgi_nu_3SM
sAyuvavanigAgiyA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
sAyuvavanigAgiyU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
sAyuvavanigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
sAyuvavanigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
sAyuvavanigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
sAyuvavanigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
sAyuvavanigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
sAyuvavanigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
sAyuvavanigosuga sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosuga_nu_3SM
sAyuvavanigosugavA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
sAyuvavanigosugavU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
sAyuvavanigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
sAyuvavanigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
sAyuvavanigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
sAyuvavanigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
sAyuvavanigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugave_nu_DECL
sAyuvavanigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_BEN+nigosugave_nu_RIS
sAyuvavanigosuga sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosuga_nu_3SM
sAyuvavanigosugavA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
sAyuvavanigosugavU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
sAyuvavanigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
sAyuvavanigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
sAyuvavanigosugavo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
sAyuvavanigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
sAyuvavanigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugave_nu_DECL
sAyuvavanigosugave sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_PUR+nigosugave_nu_RIS
sAyuvavanigiMwa sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
sAyuvavanigiMwalA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
sAyuvavanigiMwalU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
sAyuvavanigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
sAyuvavanigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
sAyuvavanigiMwalo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
sAyuvavanigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
sAyuvavanigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
sAyuvavanigiMwale sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
sAyuvavanaMweV sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweV_nu_3SM
sAyuvavanaMweVyA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
sAyuvavanaMweVyU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
sAyuvavanaMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
sAyuvavanaMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
sAyuvavanaMweVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
sAyuvavanaMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
sAyuvavanaMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVye_nu_DECL
sAyuvavanaMweVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SIM+naMweVye_nu_RIS
sAyuvavanoVdaneV sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
sAyuvavanoVdaneVyA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
sAyuvavanoVdaneVyU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
sAyuvavanoVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
sAyuvavanoVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
sAyuvavanoVdaneVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
sAyuvavanoVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
sAyuvavanoVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
sAyuvavanoVdaneVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
sAyuvavanoVMxigeV sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
sAyuvavanoVMxigeVyA sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
sAyuvavanoVMxigeVyU sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
sAyuvavanoVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
sAyuvavanoVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
sAyuvavanoVMxigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
sAyuvavanoVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
sAyuvavanoVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
sAyuvavanoVMxigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
sAyuvavalYannu sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
sAyuvavalYannA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
sAyuvavalYannU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
sAyuvavalYanno sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
sAyuvavalYanno sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
sAyuvavalYanno sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
sAyuvavalYanne sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
sAyuvavalYanne sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
sAyuvavalYanne sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
sAyuvavalYiMxa sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
sAyuvavalYiMxalA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
sAyuvavalYiMxalU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
sAyuvavalYiMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
sAyuvavalYiMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
sAyuvavalYiMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
sAyuvavalYiMxale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
sAyuvavalYiMxale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
sAyuvavalYiMxale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
sAyuvavalYigeV sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
sAyuvavalYigeVyA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
sAyuvavalYigeVyU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
sAyuvavalYigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
sAyuvavalYigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
sAyuvavalYigeVyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
sAyuvavalYigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
sAyuvavalYigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
sAyuvavalYigeVye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
sAyuvavalYiMxa  sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
sAyuvavalYiMxalA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
sAyuvavalYiMxalU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
sAyuvavalYiMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
sAyuvavalYiMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
sAyuvavalYiMxalo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
sAyuvavalYiMxale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
sAyuvavalYiMxale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
sAyuvavalYiMxale sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
sAyuvavalYa sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_GEN+lYa_lYu_3SF
sAyuvavalYalli sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
sAyuvavalYalliyA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
sAyuvavalYalliyU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
sAyuvavalYalliyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
sAyuvavalYalliyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
sAyuvavalYalliyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
sAyuvavalYalliye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
sAyuvavalYalliye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
sAyuvavalYalliye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
sAyuvavalYigoskara sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
sAyuvavalYigoskaravA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
sAyuvavalYigoskaravU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
sAyuvavalYigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
sAyuvavalYigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
sAyuvavalYigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
sAyuvavalYigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
sAyuvavalYigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
sAyuvavalYigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
sAyuvavalYigoskara sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
sAyuvavalYigoskaravA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
sAyuvavalYigoskaravU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
sAyuvavalYigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
sAyuvavalYigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
sAyuvavalYigoskaravo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
sAyuvavalYigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
sAyuvavalYigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
sAyuvavalYigoskarave sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
sAyuvavalYigAgi sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
sAyuvavalYigAgiyA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
sAyuvavalYigAgiyU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
sAyuvavalYigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
sAyuvavalYigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
sAyuvavalYigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
sAyuvavalYigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
sAyuvavalYigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
sAyuvavalYigAgiye sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
sAyuvavalYigAgi sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
sAyuvavalYigAgiyA sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
sAyuvavalYigAgiyU sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
sAyuvavalYigAgiyo sAyu(V2)+Ayuva_Ayu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
