apaharisixanu apaharisu(V27)+ixa_u_PAST+anu_a_3SM   
apaharisanU apaharisu(V27)+anU_u_INCL
apaharisalYU apaharisu(V27)+alYU_u_INCL
apaharisaxU apaharisu(V27)+axU_u_INCL
apaharisarU apaharisu(V27)+arU_u_INCL
apaharisavU apaharisu(V27)+avU_u_INCL
apaharisixarU apaharisu(V27)+ixarU_u_INCL
apaharisuwwalU apaharisu(V27)+uwwalU_u_INCL
apaharisixalliyU apaharisu(V27)+ixalliyU_u_INCL
apaharisalpadaxanlU apaharisu(V27)+alpadaxanlU_u_INCL
apaharisalpadaxanveVyU apaharisu(V27)+alpadaxanveVyU_u_INCL
apaharisalpaduvuxU apaharisu(V27)+alpaduvuxU_u_INCL
apaharisalpaduvuvU apaharisu(V27)+alpaduvuvU_u_INCL
apaharisalpattarU apaharisu(V27)+alpattarU_u_INCL
apaharisalpaduwwalU apaharisu(V27)+alpaduwwalU_u_INCL
apaharisalpadalU apaharisu(V27)+alpadalU_u_INCL
apaharisalpadalikkeyU apaharisu(V27)+alpadalikkeyU_u_INCL
apaharisalpattalliyU apaharisu(V27)+alpattalliyU_u_INCL
apaharisuvuxannu apaharisu(V27)+vuxannu_#_ACC
apaharisuvuxariMxa apaharisu(V27)+vuxariMxa_#_INS
apaharisuvuxakkeV apaharisu(V27)+vuxakkeV_#_DAT
apaharisuvuxariMxa apaharisu(V27)+vuxariMxa_#_ABL
apaharisuvuxara apaharisu(V27)+vuxara_#_GEN
apaharisuvuxaralli apaharisu(V27)+vuxaralli_#_LOC
apaharisuvuxakkoskara apaharisu(V27)+vuxu_#_DAT+xakkoskara_xu_BEN
apaharisuvuxakkoskara apaharisu(V27)+vuxu_#_DAT+xakkoskara_xu_PUR
apaharisuvuxaixagi apaharisu(V27)+vuxu_#_DAT+xaixagi_xu_BEN
apaharisuvuxaixagi apaharisu(V27)+vuxu_#_DAT+xaixagi_xu_PUR
apaharisuvuxakkosuga apaharisu(V27)+vuxu_#_DAT+xakkosuga_xu_BEN
apaharisuvuxakkosuga apaharisu(V27)+vuxu_#_DAT+xakkosuga_xu_PUR
apaharisuvuxakkiMwa apaharisu(V27)+vuxu_#_DAT+xakkiMwa_xu_COMP
apaharisuvaMweV apaharisu(V27)+vaMweV_#_SIM
apaharisuvaMwa apaharisu(V27)+vaMwa_#_SIM
apaharisuvaMwaha apaharisu(V27)+vaMwaha_#_SIM
apaharisuvuxaroVdaneV apaharisu(V27)+vuxu_#_GEN+xaroVdaneV_xu_SOC
apaharisuvuxaroVMxigeV apaharisu(V27)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
apaharisuvavanannu apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nannu_nu_3SM
apaharisuvavanannA apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nannA_nu_INTR
apaharisuvavanannU apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nannU_nu_INCL
apaharisuvavananno apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nanno_nu_DUB
apaharisuvavananno apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nanno_nu_INDF
apaharisuvavananno apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nanno_nu_PRES
apaharisuvavananne apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nanne_nu_IMPH
apaharisuvavananne apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nanne_nu_DECL
apaharisuvavananne apaharisu(V27)+va_#_PRP+vavanu_va_ACC+nanne_nu_RIS
apaharisuvavaniMxa apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxa_nu_3SM
apaharisuvavaniMxalA apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxalA_nu_INTR
apaharisuvavaniMxalU apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxalU_nu_INCL
apaharisuvavaniMxalo apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxalo_nu_DUB
apaharisuvavaniMxalo apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxalo_nu_INDF
apaharisuvavaniMxalo apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxalo_nu_PRES
apaharisuvavaniMxale apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxale_nu_IMPH
apaharisuvavaniMxale apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxale_nu_DECL
apaharisuvavaniMxale apaharisu(V27)+va_#_PRP+vavanu_va_INS+niMxale_nu_RIS
apaharisuvavanigeV apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeV_nu_3SM
apaharisuvavanigeVyA apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
apaharisuvavanigeVyU apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
apaharisuvavanigeVyo apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
apaharisuvavanigeVyo apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
apaharisuvavanigeVyo apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
apaharisuvavanigeVye apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
apaharisuvavanigeVye apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_DECL
apaharisuvavanigeVye apaharisu(V27)+va_#_PRP+vavanu_va_DAT+nigeVye_nu_RIS
apaharisuvavaniMxa  apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxa_nu_3SM
apaharisuvavaniMxalA apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxalA_nu_INTR
apaharisuvavaniMxalU apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxalU_nu_INCL
apaharisuvavaniMxalo apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_DUB
apaharisuvavaniMxalo apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_INDF
apaharisuvavaniMxalo apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxalo_nu_PRES
apaharisuvavaniMxale apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxale_nu_IMPH
apaharisuvavaniMxale apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxale_nu_DECL
apaharisuvavaniMxale apaharisu(V27)+va_#_PRP+vavanu_va_ABL+niMxale_nu_RIS
apaharisuvavana apaharisu(V27)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
apaharisuvavanalli apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
apaharisuvavanalliyA apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
apaharisuvavanalliyU apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
apaharisuvavanalliyo apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
apaharisuvavanalliyo apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
apaharisuvavanalliyo apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
apaharisuvavanalliye apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
apaharisuvavanalliye apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
apaharisuvavanalliye apaharisu(V27)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
apaharisuvavanigoskara apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
apaharisuvavanigoskaravA apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
apaharisuvavanigoskaravU apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
apaharisuvavanigoskaravo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
apaharisuvavanigoskaravo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
apaharisuvavanigoskaravo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
apaharisuvavanigoskarave apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
apaharisuvavanigoskarave apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
apaharisuvavanigoskarave apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
apaharisuvavanigoskara apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
apaharisuvavanigoskaravA apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
apaharisuvavanigoskaravU apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
apaharisuvavanigoskaravo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
apaharisuvavanigoskaravo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
apaharisuvavanigoskaravo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
apaharisuvavanigoskarave apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
apaharisuvavanigoskarave apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
apaharisuvavanigoskarave apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
apaharisuvavanigAgi apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
apaharisuvavanigAgiyA apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
apaharisuvavanigAgiyU apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
apaharisuvavanigAgiyo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
apaharisuvavanigAgiyo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
apaharisuvavanigAgiyo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
apaharisuvavanigAgiye apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
apaharisuvavanigAgiye apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
apaharisuvavanigAgiye apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
apaharisuvavanigAgi apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
apaharisuvavanigAgiyA apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
apaharisuvavanigAgiyU apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
apaharisuvavanigAgiyo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
apaharisuvavanigAgiyo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
apaharisuvavanigAgiyo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
apaharisuvavanigAgiye apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
apaharisuvavanigAgiye apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
apaharisuvavanigAgiye apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
apaharisuvavanigosuga apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
apaharisuvavanigosugavA apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
apaharisuvavanigosugavU apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
apaharisuvavanigosugavo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
apaharisuvavanigosugavo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
apaharisuvavanigosugavo apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
apaharisuvavanigosugave apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
apaharisuvavanigosugave apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
apaharisuvavanigosugave apaharisu(V27)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
apaharisuvavanigosuga apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
apaharisuvavanigosugavA apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
apaharisuvavanigosugavU apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
apaharisuvavanigosugavo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
apaharisuvavanigosugavo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
apaharisuvavanigosugavo apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
apaharisuvavanigosugave apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
apaharisuvavanigosugave apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
apaharisuvavanigosugave apaharisu(V27)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
apaharisuvavanigiMwa apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
apaharisuvavanigiMwalA apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
apaharisuvavanigiMwalU apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
apaharisuvavanigiMwalo apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
apaharisuvavanigiMwalo apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
apaharisuvavanigiMwalo apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
apaharisuvavanigiMwale apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
apaharisuvavanigiMwale apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
apaharisuvavanigiMwale apaharisu(V27)+va_#_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
apaharisuvavanaMweV apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
apaharisuvavanaMweVyA apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
apaharisuvavanaMweVyU apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
apaharisuvavanaMweVyo apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
apaharisuvavanaMweVyo apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
apaharisuvavanaMweVyo apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
apaharisuvavanaMweVye apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
apaharisuvavanaMweVye apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
apaharisuvavanaMweVye apaharisu(V27)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
apaharisuvavanoVdaneV apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
apaharisuvavanoVdaneVyA apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
apaharisuvavanoVdaneVyU apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
apaharisuvavanoVdaneVyo apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
apaharisuvavanoVdaneVyo apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
apaharisuvavanoVdaneVyo apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
apaharisuvavanoVdaneVye apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
apaharisuvavanoVdaneVye apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
apaharisuvavanoVdaneVye apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
apaharisuvavanoVMxigeV apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
apaharisuvavanoVMxigeVyA apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
apaharisuvavanoVMxigeVyU apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
apaharisuvavanoVMxigeVyo apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
apaharisuvavanoVMxigeVyo apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
apaharisuvavanoVMxigeVyo apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
apaharisuvavanoVMxigeVye apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
apaharisuvavanoVMxigeVye apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
apaharisuvavanoVMxigeVye apaharisu(V27)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
apaharisuvavalYannu apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
apaharisuvavalYannA apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
apaharisuvavalYannU apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
apaharisuvavalYanno apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
apaharisuvavalYanno apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
apaharisuvavalYanno apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
apaharisuvavalYanne apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
apaharisuvavalYanne apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
apaharisuvavalYanne apaharisu(V27)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
apaharisuvavalYiMxa apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
apaharisuvavalYiMxalA apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
apaharisuvavalYiMxalU apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
apaharisuvavalYiMxalo apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
apaharisuvavalYiMxalo apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
apaharisuvavalYiMxalo apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
apaharisuvavalYiMxale apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
apaharisuvavalYiMxale apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
apaharisuvavalYiMxale apaharisu(V27)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
apaharisuvavalYigeV apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
apaharisuvavalYigeVyA apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
apaharisuvavalYigeVyU apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
apaharisuvavalYigeVyo apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
apaharisuvavalYigeVyo apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
apaharisuvavalYigeVyo apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
apaharisuvavalYigeVye apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
apaharisuvavalYigeVye apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
apaharisuvavalYigeVye apaharisu(V27)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
apaharisuvavalYiMxa  apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
apaharisuvavalYiMxalA apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
apaharisuvavalYiMxalU apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
apaharisuvavalYiMxalo apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
apaharisuvavalYiMxalo apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
apaharisuvavalYiMxalo apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
apaharisuvavalYiMxale apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
apaharisuvavalYiMxale apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
apaharisuvavalYiMxale apaharisu(V27)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
apaharisuvavalYa apaharisu(V27)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
apaharisuvavalYalli apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
apaharisuvavalYalliyA apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
apaharisuvavalYalliyU apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
apaharisuvavalYalliyo apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
apaharisuvavalYalliyo apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
apaharisuvavalYalliyo apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
apaharisuvavalYalliye apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
apaharisuvavalYalliye apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
apaharisuvavalYalliye apaharisu(V27)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
apaharisuvavalYigoskara apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
apaharisuvavalYigoskaravA apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
apaharisuvavalYigoskaravU apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
apaharisuvavalYigoskaravo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
apaharisuvavalYigoskaravo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
apaharisuvavalYigoskaravo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
apaharisuvavalYigoskarave apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
apaharisuvavalYigoskarave apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
apaharisuvavalYigoskarave apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
apaharisuvavalYigoskara apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
apaharisuvavalYigoskaravA apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
apaharisuvavalYigoskaravU apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
apaharisuvavalYigoskaravo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
apaharisuvavalYigoskaravo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
apaharisuvavalYigoskaravo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
apaharisuvavalYigoskarave apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
apaharisuvavalYigoskarave apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
apaharisuvavalYigoskarave apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
apaharisuvavalYigAgi apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
apaharisuvavalYigAgiyA apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
apaharisuvavalYigAgiyU apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
apaharisuvavalYigAgiyo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
apaharisuvavalYigAgiyo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
apaharisuvavalYigAgiyo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
apaharisuvavalYigAgiye apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
apaharisuvavalYigAgiye apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
apaharisuvavalYigAgiye apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
apaharisuvavalYigAgi apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
apaharisuvavalYigAgiyA apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
apaharisuvavalYigAgiyU apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
apaharisuvavalYigAgiyo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
apaharisuvavalYigAgiyo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
apaharisuvavalYigAgiyo apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
apaharisuvavalYigAgiye apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
apaharisuvavalYigAgiye apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
apaharisuvavalYigAgiye apaharisu(V27)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
apaharisuvavalYigosuga apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
apaharisuvavalYigosugavA apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
apaharisuvavalYigosugavU apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
apaharisuvavalYigosugavo apaharisu(V27)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
