sowanu solu(V5)+wa_lu_PAST+anu_a_3SM   
soluvavasoxalA solu(V5)+va_#_PRP+vavanu_va_ABL+soxalA_nu_INTR
soluvavasoxalU solu(V5)+va_#_PRP+vavanu_va_ABL+soxalU_nu_INCL
soluvavasoxalo solu(V5)+va_#_PRP+vavanu_va_ABL+soxalo_nu_DUB
soluvavasoxalo solu(V5)+va_#_PRP+vavanu_va_ABL+soxalo_nu_INDF
soluvavasoxalo solu(V5)+va_#_PRP+vavanu_va_ABL+soxalo_nu_PRES
soluvavasoxale solu(V5)+va_#_PRP+vavanu_va_ABL+soxale_nu_IMPH
soluvavasoxale solu(V5)+va_#_PRP+vavanu_va_ABL+soxale_nu_DECL
soluvavasoxale solu(V5)+va_#_PRP+vavanu_va_ABL+soxale_nu_RIS
soluvavana solu(V5)+va_#_PRP+vavanu_va_GEN+na_nu_3SM
soluvavanalli solu(V5)+va_#_PRP+vavanu_va_LOC+nalli_nu_3SM
soluvavanalliyA solu(V5)+va_#_PRP+vavanu_va_LOC+nalliyA_nu_INTR
soluvavanalliyU solu(V5)+va_#_PRP+vavanu_va_LOC+nalliyU_nu_INCL
soluvavanalliyo solu(V5)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_DUB
soluvavanalliyo solu(V5)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_INDF
soluvavanalliyo solu(V5)+va_#_PRP+vavanu_va_LOC+nalliyo_nu_PRES
soluvavanalliye solu(V5)+va_#_PRP+vavanu_va_LOC+nalliye_nu_IMPH
soluvavanalliye solu(V5)+va_#_PRP+vavanu_va_LOC+nalliye_nu_DECL
soluvavanalliye solu(V5)+va_#_PRP+vavanu_va_LOC+nalliye_nu_RIS
soluvavanigoskara solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskara_nu_3SM
soluvavanigoskaravA solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
soluvavanigoskaravU solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
soluvavanigoskaravo solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
soluvavanigoskaravo solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
soluvavanigoskaravo solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
soluvavanigoskarave solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
soluvavanigoskarave solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
soluvavanigoskarave solu(V5)+va_#_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
soluvavanigoskara solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskara_nu_3SM
soluvavanigoskaravA solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
soluvavanigoskaravU solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
soluvavanigoskaravo solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
soluvavanigoskaravo solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
soluvavanigoskaravo solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
soluvavanigoskarave solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
soluvavanigoskarave solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
soluvavanigoskarave solu(V5)+va_#_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
soluvavanigAgi solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgi_nu_3SM
soluvavanigAgiyA solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
soluvavanigAgiyU solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
soluvavanigAgiyo solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
soluvavanigAgiyo solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
soluvavanigAgiyo solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
soluvavanigAgiye solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
soluvavanigAgiye solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
soluvavanigAgiye solu(V5)+va_#_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
soluvavanigAgi solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgi_nu_3SM
soluvavanigAgiyA solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
soluvavanigAgiyU solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
soluvavanigAgiyo solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
soluvavanigAgiyo solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
soluvavanigAgiyo solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
soluvavanigAgiye solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
soluvavanigAgiye solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
soluvavanigAgiye solu(V5)+va_#_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
soluvavanigosuga solu(V5)+va_#_PRP+vavanu_va_BEN+nigosuga_nu_3SM
soluvavanigosugavA solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
soluvavanigosugavU solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
soluvavanigosugavo solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
soluvavanigosugavo solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
soluvavanigosugavo solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
soluvavanigosugave solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
soluvavanigosugave solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_DECL
soluvavanigosugave solu(V5)+va_#_PRP+vavanu_va_BEN+nigosugave_nu_RIS
soluvavanigosuga solu(V5)+va_#_PRP+vavanu_va_PUR+nigosuga_nu_3SM
soluvavanigosugavA solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
soluvavanigosugavU solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
soluvavanigosugavo solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
soluvavanigosugavo solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
soluvavanigosugavo solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
soluvavanigosugave solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
soluvavanigosugave solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_DECL
soluvavanigosugave solu(V5)+va_#_PRP+vavanu_va_PUR+nigosugave_nu_RIS
soluvavanigiwa solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwa_nu_3SM
soluvavanigiwalA solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwalA_nu_INTR
soluvavanigiwalU solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwalU_nu_INCL
soluvavanigiwalo solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwalo_nu_DUB
soluvavanigiwalo solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwalo_nu_INDF
soluvavanigiwalo solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwalo_nu_PRES
soluvavanigiwale solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwale_nu_IMPH
soluvavanigiwale solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwale_nu_DECL
soluvavanigiwale solu(V5)+va_#_PRP+vavanu_va_COMP+nigiwale_nu_RIS
soluvavanaMweV solu(V5)+va_#_PRP+vavanu_va_SIM+naMweV_nu_3SM
soluvavanaMweVyA solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
soluvavanaMweVyU solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
soluvavanaMweVyo solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
soluvavanaMweVyo solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
soluvavanaMweVyo solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
soluvavanaMweVye solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
soluvavanaMweVye solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_DECL
soluvavanaMweVye solu(V5)+va_#_PRP+vavanu_va_SIM+naMweVye_nu_RIS
soluvavanoVdaneV solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
soluvavanoVdaneVyA solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
soluvavanoVdaneVyU solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
soluvavanoVdaneVyo solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
soluvavanoVdaneVyo solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
soluvavanoVdaneVyo solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
soluvavanoVdaneVye solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
soluvavanoVdaneVye solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
soluvavanoVdaneVye solu(V5)+va_#_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
soluvavanoVMxigeV solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
soluvavanoVMxigeVyA solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
soluvavanoVMxigeVyU solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
soluvavanoVMxigeVyo solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
soluvavanoVMxigeVyo solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
soluvavanoVMxigeVyo solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
soluvavanoVMxigeVye solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
soluvavanoVMxigeVye solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
soluvavanoVMxigeVye solu(V5)+va_#_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
soluvavalYannu solu(V5)+va_#_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
soluvavalYannA solu(V5)+va_#_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
soluvavalYannU solu(V5)+va_#_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
soluvavalYanno solu(V5)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
soluvavalYanno solu(V5)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
soluvavalYanno solu(V5)+va_#_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
soluvavalYanne solu(V5)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
soluvavalYanne solu(V5)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
soluvavalYanne solu(V5)+va_#_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
soluvavalYiMxa solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
soluvavalYiMxalA solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
soluvavalYiMxalU solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
soluvavalYiMxalo solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
soluvavalYiMxalo solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
soluvavalYiMxalo solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
soluvavalYiMxale solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
soluvavalYiMxale solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
soluvavalYiMxale solu(V5)+va_#_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
soluvavalYigeV solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
soluvavalYigeVyA solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
soluvavalYigeVyU solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
soluvavalYigeVyo solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
soluvavalYigeVyo solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
soluvavalYigeVyo solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
soluvavalYigeVye solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
soluvavalYigeVye solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
soluvavalYigeVye solu(V5)+va_#_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
soluvavalYiMxa  solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
soluvavalYiMxalA solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
soluvavalYiMxalU solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
soluvavalYiMxalo solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
soluvavalYiMxalo solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
soluvavalYiMxalo solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
soluvavalYiMxale solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
soluvavalYiMxale solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
soluvavalYiMxale solu(V5)+va_#_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
soluvavalYa solu(V5)+va_#_PRP+vavalYu_va_GEN+lYa_lYu_3SF
soluvavalYalli solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
soluvavalYalliyA solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
soluvavalYalliyU solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
soluvavalYalliyo solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
soluvavalYalliyo solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
soluvavalYalliyo solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
soluvavalYalliye solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
soluvavalYalliye solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
soluvavalYalliye solu(V5)+va_#_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
soluvavalYigoskara solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
soluvavalYigoskaravA solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
soluvavalYigoskaravU solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
soluvavalYigoskaravo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
soluvavalYigoskaravo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
soluvavalYigoskaravo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
soluvavalYigoskarave solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
soluvavalYigoskarave solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
soluvavalYigoskarave solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
soluvavalYigoskara solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
soluvavalYigoskaravA solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
soluvavalYigoskaravU solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
soluvavalYigoskaravo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
soluvavalYigoskaravo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
soluvavalYigoskaravo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
soluvavalYigoskarave solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
soluvavalYigoskarave solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
soluvavalYigoskarave solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
soluvavalYigAgi solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
soluvavalYigAgiyA solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
soluvavalYigAgiyU solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
soluvavalYigAgiyo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
soluvavalYigAgiyo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
soluvavalYigAgiyo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
soluvavalYigAgiye solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
soluvavalYigAgiye solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
soluvavalYigAgiye solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
soluvavalYigAgi solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
soluvavalYigAgiyA solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
soluvavalYigAgiyU solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
soluvavalYigAgiyo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
soluvavalYigAgiyo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
soluvavalYigAgiyo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
soluvavalYigAgiye solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
soluvavalYigAgiye solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
soluvavalYigAgiye solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
soluvavalYigosuga solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
soluvavalYigosugavA solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
soluvavalYigosugavU solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
soluvavalYigosugavo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
soluvavalYigosugavo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
soluvavalYigosugavo solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
soluvavalYigosugave solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
soluvavalYigosugave solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
soluvavalYigosugave solu(V5)+va_#_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
soluvavalYigosuga solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
soluvavalYigosugavA solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
soluvavalYigosugavU solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
soluvavalYigosugavo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
soluvavalYigosugavo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
soluvavalYigosugavo solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
soluvavalYigosugave solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
soluvavalYigosugave solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
soluvavalYigosugave solu(V5)+va_#_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
soluvavalYigiwa solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwa_lYu_3SF
soluvavalYigiwalA solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwalA_lYu_INTR
soluvavalYigiwalU solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwalU_lYu_INCL
soluvavalYigiwalo solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwalo_lYu_DUB
soluvavalYigiwalo solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwalo_lYu_INDF
soluvavalYigiwalo solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwalo_lYu_PRES
soluvavalYigiwale solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwale_lYu_IMPH
soluvavalYigiwale solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwale_lYu_DECL
soluvavalYigiwale solu(V5)+va_#_PRP+vavalYu_va_COMP+lYigiwale_lYu_RIS
soluvavalYaMweV solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
soluvavalYaMweVyA solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
soluvavalYaMweVyU solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
soluvavalYaMweVyo solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
soluvavalYaMweVyo solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
soluvavalYaMweVyo solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
soluvavalYaMweVye solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
soluvavalYaMweVye solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
soluvavalYaMweVye solu(V5)+va_#_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
soluvavalYoVdaneV solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
soluvavalYoVdaneVyA solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
soluvavalYoVdaneVyU solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
soluvavalYoVdaneVyo solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
soluvavalYoVdaneVyo solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
soluvavalYoVdaneVyo solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
soluvavalYoVdaneVye solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
soluvavalYoVdaneVye solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
soluvavalYoVdaneVye solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
soluvavalYoVMxigeV  solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
soluvavalYoVMxigeVyA solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
soluvavalYoVMxigeVyU solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
soluvavalYoVMxigeVyo solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
soluvavalYoVMxigeVyo solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
soluvavalYoVMxigeVyo solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
soluvavalYoVMxigeVye solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
soluvavalYoVMxigeVye solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
soluvavalYoVMxigeVye solu(V5)+va_#_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
soluvavarannu solu(V5)+va_#_PRP+vava_va_ACC+rannu_#_3P
soluvavarannA solu(V5)+va_#_PRP+vava_va_ACC+rannA_#_INTR
soluvavarannU solu(V5)+va_#_PRP+vava_va_ACC+rannU_#_INCL
soluvavaranno solu(V5)+va_#_PRP+vava_va_ACC+ranno_#_DUB
soluvavaranno solu(V5)+va_#_PRP+vava_va_ACC+ranno_#_INDF
soluvavaranno solu(V5)+va_#_PRP+vava_va_ACC+ranno_#_PRES
soluvavaranne solu(V5)+va_#_PRP+vava_va_ACC+ranne_#_IMPH
soluvavaranne solu(V5)+va_#_PRP+vava_va_ACC+ranne_#_DECL
soluvavaranne solu(V5)+va_#_PRP+vava_va_ACC+ranne_#_RIS
soluvavariMxa solu(V5)+va_#_PRP+vava_va_INS+riMxa_#_3P
soluvavariMxalA solu(V5)+va_#_PRP+vava_va_INS+riMxalA_#_INTR
soluvavariMxalU solu(V5)+va_#_PRP+vava_va_INS+riMxalU_#_INCL
soluvavariMxalo solu(V5)+va_#_PRP+vava_va_INS+riMxalo_#_DUB
soluvavariMxalo solu(V5)+va_#_PRP+vava_va_INS+riMxalo_#_INDF
soluvavariMxalo solu(V5)+va_#_PRP+vava_va_INS+riMxalo_#_PRES
soluvavariMxale solu(V5)+va_#_PRP+vava_va_INS+riMxale_#_IMPH
soluvavariMxale solu(V5)+va_#_PRP+vava_va_INS+riMxale_#_DECL
soluvavariMxale solu(V5)+va_#_PRP+vava_va_INS+riMxale_#_RIS
soluvavarigeV solu(V5)+va_#_PRP+vava_va_DAT+rigeV_#_3P
soluvavarigeVyA solu(V5)+va_#_PRP+vava_va_DAT+rigeVyA_#_INTR
soluvavarigeVyU solu(V5)+va_#_PRP+vava_va_DAT+rigeVyU_#_INCL
soluvavarigeVyo solu(V5)+va_#_PRP+vava_va_DAT+rigeVyo_#_DUB
soluvavarigeVyo solu(V5)+va_#_PRP+vava_va_DAT+rigeVyo_#_INDF
soluvavarigeVyo solu(V5)+va_#_PRP+vava_va_DAT+rigeVyo_#_PRES
soluvavarigeVye solu(V5)+va_#_PRP+vava_va_DAT+rigeVye_#_IMPH
soluvavarigeVye solu(V5)+va_#_PRP+vava_va_DAT+rigeVye_#_DECL
soluvavarigeVye solu(V5)+va_#_PRP+vava_va_DAT+rigeVye_#_RIS
