koVMxanu koVllu(V14)+Mxa_llu_PAST+anu_a_3SM   
koVlluvuxannu koVllu(V14)+vuxannu_#_ACC
koVlluvuxariMMxa koVllu(V14)+vuxariMMxa_#_INS
koVlluvuxakkeV koVllu(V14)+vuxakkeV_#_DAT
koVlluvuxariMMxa koVllu(V14)+vuxariMMxa_#_ABL
koVlluvuxara koVllu(V14)+vuxara_#_GEN
koVlluvuxaralli koVllu(V14)+vuxaralli_#_LOC
koVlluvuxakkoskara koVllu(V14)+vuxu_#_DAT+xakkoskara_xu_BEN
koVlluvuxakkoskara koVllu(V14)+vuxu_#_DAT+xakkoskara_xu_PUR
koVlluvuxakkAgi koVllu(V14)+vuxu_#_DAT+xakkAgi_xu_BEN
koVlluvuxakkAgi koVllu(V14)+vuxu_#_DAT+xakkAgi_xu_PUR
koVlluvuMxakkosuga koVllu(V14)+vuxu_#_DAT+Mxakkosuga_xu_BEN
koVlluvuMxakkosuga koVllu(V14)+vuxu_#_DAT+Mxakkosuga_xu_PUR
koVlluvuMxakkiMwa koVllu(V14)+vuxu_#_DAT+MxakkiMwa_xu_COMP
koVlluvaMweV koVllu(V14)+vaMweV_#_SIM
koVlluvaMwa koVllu(V14)+vaMwa_#_SIM
koVlluvaMwaha koVllu(V14)+vaMwaha_#_SIM
koVlluvuxaroVdaneV koVllu(V14)+vuxu_#_GEN+xaroVdaneV_xu_SOC
koVlluvuxaroVMxigeV koVllu(V14)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
koVlluvavanannu koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nannu_nu_3SM
koVlluvavanannA koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nannA_nu_INTR
koVlluvavanannU koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nannU_nu_INCL
koVlluvavananno koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nanno_nu_DUB
koVlluvavananno koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nanno_nu_INDF
koVlluvavananno koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nanno_nu_PRES
koVlluvavananne koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nanne_nu_IMPH
koVlluvavananne koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nanne_nu_DECL
koVlluvavananne koVllu(V14)+lluva_llu_PRP+vavanu_va_ACC+nanne_nu_RIS
koVlluvavaniMMxa koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxa_nu_3SM
koVlluvavaniMMxalA koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxalA_nu_INTR
koVlluvavaniMMxalU koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxalU_nu_INCL
koVlluvavaniMMxalo koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxalo_nu_DUB
koVlluvavaniMMxalo koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxalo_nu_INDF
koVlluvavaniMMxalo koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxalo_nu_PRES
koVlluvavaniMMxale koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxale_nu_IMPH
koVlluvavaniMMxale koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxale_nu_DECL
koVlluvavaniMMxale koVllu(V14)+lluva_llu_PRP+vavanu_va_INS+niMMxale_nu_RIS
koVlluvavanigeV koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeV_nu_3SM
koVlluvavanigeVyA koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
koVlluvavanigeVyU koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
koVlluvavanigeVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
koVlluvavanigeVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
koVlluvavanigeVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
koVlluvavanigeVye koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
koVlluvavanigeVye koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVye_nu_DECL
koVlluvavanigeVye koVllu(V14)+lluva_llu_PRP+vavanu_va_DAT+nigeVye_nu_RIS
koVlluvavaniMMxa  koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxa_nu_3SM
koVlluvavaniMMxalA koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxalA_nu_INTR
koVlluvavaniMMxalU koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxalU_nu_INCL
koVlluvavaniMMxalo koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxalo_nu_DUB
koVlluvavaniMMxalo koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxalo_nu_INDF
koVlluvavaniMMxalo koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxalo_nu_PRES
koVlluvavaniMMxale koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxale_nu_IMPH
koVlluvavaniMMxale koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxale_nu_DECL
koVlluvavaniMMxale koVllu(V14)+lluva_llu_PRP+vavanu_va_ABL+niMMxale_nu_RIS
koVlluvavana koVllu(V14)+lluva_llu_PRP+vavanu_va_GEN+na_nu_3SM
koVlluvavanalli koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalli_nu_3SM
koVlluvavanalliyA koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliyA_nu_INTR
koVlluvavanalliyU koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliyU_nu_INCL
koVlluvavanalliyo koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliyo_nu_DUB
koVlluvavanalliyo koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliyo_nu_INDF
koVlluvavanalliyo koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliyo_nu_PRES
koVlluvavanalliye koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliye_nu_IMPH
koVlluvavanalliye koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliye_nu_DECL
koVlluvavanalliye koVllu(V14)+lluva_llu_PRP+vavanu_va_LOC+nalliye_nu_RIS
koVlluvavanigoskara koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskara_nu_3SM
koVlluvavanigoskaravA koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
koVlluvavanigoskaravU koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
koVlluvavanigoskaravo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
koVlluvavanigoskaravo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
koVlluvavanigoskaravo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
koVlluvavanigoskarave koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
koVlluvavanigoskarave koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
koVlluvavanigoskarave koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
koVlluvavanigoskara koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskara_nu_3SM
koVlluvavanigoskaravA koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
koVlluvavanigoskaravU koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
koVlluvavanigoskaravo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
koVlluvavanigoskaravo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
koVlluvavanigoskaravo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
koVlluvavanigoskarave koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
koVlluvavanigoskarave koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
koVlluvavanigoskarave koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
koVlluvavanigAgi koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgi_nu_3SM
koVlluvavanigAgiyA koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
koVlluvavanigAgiyU koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
koVlluvavanigAgiyo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
koVlluvavanigAgiyo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
koVlluvavanigAgiyo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
koVlluvavanigAgiye koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
koVlluvavanigAgiye koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
koVlluvavanigAgiye koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
koVlluvavanigAgi koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgi_nu_3SM
koVlluvavanigAgiyA koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
koVlluvavanigAgiyU koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
koVlluvavanigAgiyo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
koVlluvavanigAgiyo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
koVlluvavanigAgiyo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
koVlluvavanigAgiye koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
koVlluvavanigAgiye koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
koVlluvavanigAgiye koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
koVlluvavanigosuga koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosuga_nu_3SM
koVlluvavanigosugavA koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
koVlluvavanigosugavU koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
koVlluvavanigosugavo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
koVlluvavanigosugavo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
koVlluvavanigosugavo koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
koVlluvavanigosugave koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
koVlluvavanigosugave koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugave_nu_DECL
koVlluvavanigosugave koVllu(V14)+lluva_llu_PRP+vavanu_va_BEN+nigosugave_nu_RIS
koVlluvavanigosuga koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosuga_nu_3SM
koVlluvavanigosugavA koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
koVlluvavanigosugavU koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
koVlluvavanigosugavo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
koVlluvavanigosugavo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
koVlluvavanigosugavo koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
koVlluvavanigosugave koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
koVlluvavanigosugave koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugave_nu_DECL
koVlluvavanigosugave koVllu(V14)+lluva_llu_PRP+vavanu_va_PUR+nigosugave_nu_RIS
koVlluvavanigiMwa koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
koVlluvavanigiMwalA koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
koVlluvavanigiMwalU koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
koVlluvavanigiMwalo koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
koVlluvavanigiMwalo koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
koVlluvavanigiMwalo koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
koVlluvavanigiMwale koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
koVlluvavanigiMwale koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
koVlluvavanigiMwale koVllu(V14)+lluva_llu_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
koVlluvavanaMweV koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweV_nu_3SM
koVlluvavanaMweVyA koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
koVlluvavanaMweVyU koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
koVlluvavanaMweVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
koVlluvavanaMweVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
koVlluvavanaMweVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
koVlluvavanaMweVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
koVlluvavanaMweVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVye_nu_DECL
koVlluvavanaMweVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SIM+naMweVye_nu_RIS
koVlluvavanoVdaneV koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
koVlluvavanoVdaneVyA koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
koVlluvavanoVdaneVyU koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
koVlluvavanoVdaneVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
koVlluvavanoVdaneVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
koVlluvavanoVdaneVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
koVlluvavanoVdaneVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
koVlluvavanoVdaneVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
koVlluvavanoVdaneVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
koVlluvavanoVMxigeV koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
koVlluvavanoVMxigeVyA koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
koVlluvavanoVMxigeVyU koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
koVlluvavanoVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
koVlluvavanoVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
koVlluvavanoVMxigeVyo koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
koVlluvavanoVMxigeVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
koVlluvavanoVMxigeVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
koVlluvavanoVMxigeVye koVllu(V14)+lluva_llu_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
koVlluvavalYannu koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
koVlluvavalYannA koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
koVlluvavalYannU koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
koVlluvavalYanno koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
koVlluvavalYanno koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
koVlluvavalYanno koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
koVlluvavalYanne koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
koVlluvavalYanne koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
koVlluvavalYanne koVllu(V14)+lluva_llu_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
koVlluvavalYiMMxa koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxa_lYu_3SF
koVlluvavalYiMMxalA koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxalA_lYu_INTR
koVlluvavalYiMMxalU koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxalU_lYu_INCL
koVlluvavalYiMMxalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxalo_lYu_DUB
koVlluvavalYiMMxalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxalo_lYu_INDF
koVlluvavalYiMMxalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxalo_lYu_PRES
koVlluvavalYiMMxale koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxale_lYu_IMPH
koVlluvavalYiMMxale koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxale_lYu_DECL
koVlluvavalYiMMxale koVllu(V14)+lluva_llu_PRP+vavalYu_va_INS+lYiMMxale_lYu_RIS
koVlluvavalYigeV koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
koVlluvavalYigeVyA koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
koVlluvavalYigeVyU koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
koVlluvavalYigeVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
koVlluvavalYigeVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
koVlluvavalYigeVyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
koVlluvavalYigeVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
koVlluvavalYigeVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
koVlluvavalYigeVye koVllu(V14)+lluva_llu_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
koVlluvavalYiMMxa  koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxa_lYu_3SF
koVlluvavalYiMMxalA koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxalA_lYu_INTR
koVlluvavalYiMMxalU koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxalU_lYu_INCL
koVlluvavalYiMMxalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxalo_lYu_DUB
koVlluvavalYiMMxalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxalo_lYu_INDF
koVlluvavalYiMMxalo koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxalo_lYu_PRES
koVlluvavalYiMMxale koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxale_lYu_IMPH
koVlluvavalYiMMxale koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxale_lYu_DECL
koVlluvavalYiMMxale koVllu(V14)+lluva_llu_PRP+vavalYu_va_ABL+lYiMMxale_lYu_RIS
koVlluvavalYa koVllu(V14)+lluva_llu_PRP+vavalYu_va_GEN+lYa_lYu_3SF
koVlluvavalYalli koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
koVlluvavalYalliyA koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
koVlluvavalYalliyU koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
koVlluvavalYalliyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
koVlluvavalYalliyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
koVlluvavalYalliyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
koVlluvavalYalliye koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
koVlluvavalYalliye koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
koVlluvavalYalliye koVllu(V14)+lluva_llu_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
koVlluvavalYigoskara koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
koVlluvavalYigoskaravA koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
koVlluvavalYigoskaravU koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
koVlluvavalYigoskaravo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
koVlluvavalYigoskaravo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
koVlluvavalYigoskaravo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
koVlluvavalYigoskarave koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
koVlluvavalYigoskarave koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
koVlluvavalYigoskarave koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
koVlluvavalYigoskara koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
koVlluvavalYigoskaravA koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
koVlluvavalYigoskaravU koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
koVlluvavalYigoskaravo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
koVlluvavalYigoskaravo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
koVlluvavalYigoskaravo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
koVlluvavalYigoskarave koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
koVlluvavalYigoskarave koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
koVlluvavalYigoskarave koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
koVlluvavalYigAgi koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
koVlluvavalYigAgiyA koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
koVlluvavalYigAgiyU koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
koVlluvavalYigAgiyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
koVlluvavalYigAgiyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
koVlluvavalYigAgiyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
koVlluvavalYigAgiye koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
koVlluvavalYigAgiye koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
koVlluvavalYigAgiye koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
koVlluvavalYigAgi koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
koVlluvavalYigAgiyA koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
koVlluvavalYigAgiyU koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
koVlluvavalYigAgiyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
koVlluvavalYigAgiyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
koVlluvavalYigAgiyo koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
koVlluvavalYigAgiye koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
koVlluvavalYigAgiye koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
koVlluvavalYigAgiye koVllu(V14)+lluva_llu_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
koVlluvavalYigosuga koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
koVlluvavalYigosugavA koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
koVlluvavalYigosugavU koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
koVlluvavalYigosugavo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
koVlluvavalYigosugavo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
koVlluvavalYigosugavo koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
koVlluvavalYigosugave koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
koVlluvavalYigosugave koVllu(V14)+lluva_llu_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
