koVyxanu koVyyu(V13)+xa_yu_PAST+anu_a_3SM   
koVyyalU koVyyu(V13)+alU_u_INCL
koVyyalikkyU koVyyu(V13)+alikkyU_u_INCL
koVyyalikkU koVyyu(V13)+alikkU_u_INCL
koVyyanU koVyyu(V13)+anU_u_INCL
koVyyalYU koVyyu(V13)+alYU_u_INCL
koVyyaxU koVyyu(V13)+axU_u_INCL
koVyyarU koVyyu(V13)+arU_u_INCL
koVyyavU koVyyu(V13)+avU_u_INCL
koVyxarU koVyyu(V13)+xarU_yu_INCL
koVyyuwwalU koVyyu(V13)+uwwalU_u_INCL
koVyxalliyU koVyyu(V13)+xalliyU_yu_INCL
koVyyalpadaxanU koVyyu(V13)+alpadaxanU_u_INCL
koVyyalpadaxanveVyU koVyyu(V13)+alpadaxanveVyU_u_INCL
koVyyalpaduvuxU koVyyu(V13)+alpaduvuxU_u_INCL
koVyyalpaduvuvU koVyyu(V13)+alpaduvuvU_u_INCL
koVyyalpattarU koVyyu(V13)+alpattarU_u_INCL
koVyyalpaduwwalU koVyyu(V13)+alpaduwwalU_u_INCL
koVyyalpadalU koVyyu(V13)+alpadalU_u_INCL
koVyyalpadalikkeyU koVyyu(V13)+alpadalikkeyU_u_INCL
koVyyalpattalliyU koVyyu(V13)+alpattalliyU_u_INCL
koVyyuvuxannu koVyyu(V13)+vuxannu_#_ACC
koVyyuvuxariMxa koVyyu(V13)+vuxariMxa_#_INS
koVyyuvuxakkeV koVyyu(V13)+vuxakkeV_#_DAT
koVyyuvuxariMxa koVyyu(V13)+vuxariMxa_#_ABL
koVyyuvuxara koVyyu(V13)+vuxara_#_GEN
koVyyuvuxaralli koVyyu(V13)+vuxaralli_#_LOC
koVyyuvuxakkosAyra koVyyu(V13)+vuxu_#_DAT+xakkosAyra_xu_BEN
koVyyuvuxakkosAyra koVyyu(V13)+vuxu_#_DAT+xakkosAyra_xu_PUR
koVyyuvuxakkAyi koVyyu(V13)+vuxu_#_DAT+xakkAyi_xu_BEN
koVyyuvuxakkAyi koVyyu(V13)+vuxu_#_DAT+xakkAyi_xu_PUR
koVyyuvuxakkosuga koVyyu(V13)+vuxu_#_DAT+xakkosuga_xu_BEN
koVyyuvuxakkosuga koVyyu(V13)+vuxu_#_DAT+xakkosuga_xu_PUR
koVyyuvuxakkiMwa koVyyu(V13)+vuxu_#_DAT+xakkiMwa_xu_COMP
koVyyuvaMweV koVyyu(V13)+vaMweV_#_SIM
koVyyuvaMwa koVyyu(V13)+vaMwa_#_SIM
koVyyuvaMwaha koVyyu(V13)+vaMwaha_#_SIM
koVyyuvuxaroVdaneV koVyyu(V13)+vuxu_#_GEN+xaroVdaneV_xu_SOC
koVyyuvuxaroVMxigeV koVyyu(V13)+vuxu_#_GEN+xaroVMxigeV_xu_SOC
koVyyuvavanannu koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nannu_nu_3SM
koVyyuvavanannA koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nannA_nu_INTR
koVyyuvavanannU koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nannU_nu_INCL
koVyyuvavananno koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nanno_nu_DUB
koVyyuvavananno koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nanno_nu_INDF
koVyyuvavananno koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nanno_nu_PRES
koVyyuvavananne koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nanne_nu_IMPH
koVyyuvavananne koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nanne_nu_DECL
koVyyuvavananne koVyyu(V13)+yuva_yu_PRP+vavanu_va_ACC+nanne_nu_RIS
koVyyuvavaniMxa koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxa_nu_3SM
koVyyuvavaniMxalA koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxalA_nu_INTR
koVyyuvavaniMxalU koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxalU_nu_INCL
koVyyuvavaniMxalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxalo_nu_DUB
koVyyuvavaniMxalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxalo_nu_INDF
koVyyuvavaniMxalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxalo_nu_PRES
koVyyuvavaniMxale koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxale_nu_IMPH
koVyyuvavaniMxale koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxale_nu_DECL
koVyyuvavaniMxale koVyyu(V13)+yuva_yu_PRP+vavanu_va_INS+niMxale_nu_RIS
koVyyuvavanigeV koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeV_nu_3SM
koVyyuvavanigeVyA koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
koVyyuvavanigeVyU koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
koVyyuvavanigeVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
koVyyuvavanigeVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
koVyyuvavanigeVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
koVyyuvavanigeVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
koVyyuvavanigeVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVye_nu_DECL
koVyyuvavanigeVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_DAT+nigeVye_nu_RIS
koVyyuvavaniMxa  koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxa_nu_3SM
koVyyuvavaniMxalA koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxalA_nu_INTR
koVyyuvavaniMxalU koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxalU_nu_INCL
koVyyuvavaniMxalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxalo_nu_DUB
koVyyuvavaniMxalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxalo_nu_INDF
koVyyuvavaniMxalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxalo_nu_PRES
koVyyuvavaniMxale koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxale_nu_IMPH
koVyyuvavaniMxale koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxale_nu_DECL
koVyyuvavaniMxale koVyyu(V13)+yuva_yu_PRP+vavanu_va_ABL+niMxale_nu_RIS
koVyyuvavana koVyyu(V13)+yuva_yu_PRP+vavanu_va_GEN+na_nu_3SM
koVyyuvavanalli koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalli_nu_3SM
koVyyuvavanalliyA koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliyA_nu_INTR
koVyyuvavanalliyU koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliyU_nu_INCL
koVyyuvavanalliyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliyo_nu_DUB
koVyyuvavanalliyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliyo_nu_INDF
koVyyuvavanalliyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliyo_nu_PRES
koVyyuvavanalliye koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliye_nu_IMPH
koVyyuvavanalliye koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliye_nu_DECL
koVyyuvavanalliye koVyyu(V13)+yuva_yu_PRP+vavanu_va_LOC+nalliye_nu_RIS
koVyyuvavanigosAyra koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyra_nu_3SM
koVyyuvavanigosAyravA koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyravA_nu_INTR
koVyyuvavanigosAyravU koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyravU_nu_INCL
koVyyuvavanigosAyravo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyravo_nu_DUB
koVyyuvavanigosAyravo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyravo_nu_INDF
koVyyuvavanigosAyravo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyravo_nu_PRES
koVyyuvavanigosAyrave koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyrave_nu_IMPH
koVyyuvavanigosAyrave koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyrave_nu_DECL
koVyyuvavanigosAyrave koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosAyrave_nu_RIS
koVyyuvavanigosAyra koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyra_nu_3SM
koVyyuvavanigosAyravA koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyravA_nu_INTR
koVyyuvavanigosAyravU koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyravU_nu_INCL
koVyyuvavanigosAyravo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyravo_nu_DUB
koVyyuvavanigosAyravo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyravo_nu_INDF
koVyyuvavanigosAyravo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyravo_nu_PRES
koVyyuvavanigosAyrave koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyrave_nu_IMPH
koVyyuvavanigosAyrave koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyrave_nu_DECL
koVyyuvavanigosAyrave koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosAyrave_nu_RIS
koVyyuvavanigAyi koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyi_nu_3SM
koVyyuvavanigAyiyA koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiyA_nu_INTR
koVyyuvavanigAyiyU koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiyU_nu_INCL
koVyyuvavanigAyiyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiyo_nu_DUB
koVyyuvavanigAyiyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiyo_nu_INDF
koVyyuvavanigAyiyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiyo_nu_PRES
koVyyuvavanigAyiye koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiye_nu_IMPH
koVyyuvavanigAyiye koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiye_nu_DECL
koVyyuvavanigAyiye koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigAyiye_nu_RIS
koVyyuvavanigAyi koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyi_nu_3SM
koVyyuvavanigAyiyA koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiyA_nu_INTR
koVyyuvavanigAyiyU koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiyU_nu_INCL
koVyyuvavanigAyiyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiyo_nu_DUB
koVyyuvavanigAyiyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiyo_nu_INDF
koVyyuvavanigAyiyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiyo_nu_PRES
koVyyuvavanigAyiye koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiye_nu_IMPH
koVyyuvavanigAyiye koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiye_nu_DECL
koVyyuvavanigAyiye koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigAyiye_nu_RIS
koVyyuvavanigosuga koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosuga_nu_3SM
koVyyuvavanigosugavA koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
koVyyuvavanigosugavU koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
koVyyuvavanigosugavo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
koVyyuvavanigosugavo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
koVyyuvavanigosugavo koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
koVyyuvavanigosugave koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
koVyyuvavanigosugave koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugave_nu_DECL
koVyyuvavanigosugave koVyyu(V13)+yuva_yu_PRP+vavanu_va_BEN+nigosugave_nu_RIS
koVyyuvavanigosuga koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosuga_nu_3SM
koVyyuvavanigosugavA koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
koVyyuvavanigosugavU koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
koVyyuvavanigosugavo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
koVyyuvavanigosugavo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
koVyyuvavanigosugavo koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
koVyyuvavanigosugave koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
koVyyuvavanigosugave koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugave_nu_DECL
koVyyuvavanigosugave koVyyu(V13)+yuva_yu_PRP+vavanu_va_PUR+nigosugave_nu_RIS
koVyyuvavanigiMwa koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
koVyyuvavanigiMwalA koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
koVyyuvavanigiMwalU koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
koVyyuvavanigiMwalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
koVyyuvavanigiMwalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
koVyyuvavanigiMwalo koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
koVyyuvavanigiMwale koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
koVyyuvavanigiMwale koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
koVyyuvavanigiMwale koVyyu(V13)+yuva_yu_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
koVyyuvavanaMweV koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweV_nu_3SM
koVyyuvavanaMweVyA koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
koVyyuvavanaMweVyU koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
koVyyuvavanaMweVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
koVyyuvavanaMweVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
koVyyuvavanaMweVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
koVyyuvavanaMweVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
koVyyuvavanaMweVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVye_nu_DECL
koVyyuvavanaMweVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SIM+naMweVye_nu_RIS
koVyyuvavanoVdaneV koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
koVyyuvavanoVdaneVyA koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
koVyyuvavanoVdaneVyU koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
koVyyuvavanoVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
koVyyuvavanoVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
koVyyuvavanoVdaneVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
koVyyuvavanoVdaneVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
koVyyuvavanoVdaneVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
koVyyuvavanoVdaneVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
koVyyuvavanoVMxigeV koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
koVyyuvavanoVMxigeVyA koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
koVyyuvavanoVMxigeVyU koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
koVyyuvavanoVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
koVyyuvavanoVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
koVyyuvavanoVMxigeVyo koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
koVyyuvavanoVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
koVyyuvavanoVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
koVyyuvavanoVMxigeVye koVyyu(V13)+yuva_yu_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
koVyyuvavalYannu koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
koVyyuvavalYannA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
koVyyuvavalYannU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
koVyyuvavalYanno koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
koVyyuvavalYanno koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
koVyyuvavalYanno koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
koVyyuvavalYanne koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
koVyyuvavalYanne koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
koVyyuvavalYanne koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
koVyyuvavalYiMxa koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxa_lYu_3SF
koVyyuvavalYiMxalA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxalA_lYu_INTR
koVyyuvavalYiMxalU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxalU_lYu_INCL
koVyyuvavalYiMxalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxalo_lYu_DUB
koVyyuvavalYiMxalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxalo_lYu_INDF
koVyyuvavalYiMxalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxalo_lYu_PRES
koVyyuvavalYiMxale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxale_lYu_IMPH
koVyyuvavalYiMxale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxale_lYu_DECL
koVyyuvavalYiMxale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_INS+lYiMxale_lYu_RIS
koVyyuvavalYigeV koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
koVyyuvavalYigeVyA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
koVyyuvavalYigeVyU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
koVyyuvavalYigeVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
koVyyuvavalYigeVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
koVyyuvavalYigeVyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
koVyyuvavalYigeVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
koVyyuvavalYigeVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
koVyyuvavalYigeVye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
koVyyuvavalYiMxa  koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxa_lYu_3SF
koVyyuvavalYiMxalA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxalA_lYu_INTR
koVyyuvavalYiMxalU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxalU_lYu_INCL
koVyyuvavalYiMxalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_DUB
koVyyuvavalYiMxalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_INDF
koVyyuvavalYiMxalo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxalo_lYu_PRES
koVyyuvavalYiMxale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxale_lYu_IMPH
koVyyuvavalYiMxale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxale_lYu_DECL
koVyyuvavalYiMxale koVyyu(V13)+yuva_yu_PRP+vavalYu_va_ABL+lYiMxale_lYu_RIS
koVyyuvavalYa koVyyu(V13)+yuva_yu_PRP+vavalYu_va_GEN+lYa_lYu_3SF
koVyyuvavalYalli koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
koVyyuvavalYalliyA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
koVyyuvavalYalliyU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
koVyyuvavalYalliyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
koVyyuvavalYalliyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
koVyyuvavalYalliyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
koVyyuvavalYalliye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
koVyyuvavalYalliye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
koVyyuvavalYalliye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
koVyyuvavalYigosAyra koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyra_lYu_3SF
koVyyuvavalYigosAyravA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyravA_lYu_INTR
koVyyuvavalYigosAyravU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyravU_lYu_INCL
koVyyuvavalYigosAyravo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyravo_lYu_DUB
koVyyuvavalYigosAyravo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyravo_lYu_INDF
koVyyuvavalYigosAyravo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyravo_lYu_PRES
koVyyuvavalYigosAyrave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyrave_lYu_IMPH
koVyyuvavalYigosAyrave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyrave_lYu_DECL
koVyyuvavalYigosAyrave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigosAyrave_lYu_RIS
koVyyuvavalYigosAyra koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyra_lYu_3SF
koVyyuvavalYigosAyravA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyravA_lYu_INTR
koVyyuvavalYigosAyravU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyravU_lYu_INCL
koVyyuvavalYigosAyravo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyravo_lYu_DUB
koVyyuvavalYigosAyravo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyravo_lYu_INDF
koVyyuvavalYigosAyravo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyravo_lYu_PRES
koVyyuvavalYigosAyrave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyrave_lYu_IMPH
koVyyuvavalYigosAyrave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyrave_lYu_DECL
koVyyuvavalYigosAyrave koVyyu(V13)+yuva_yu_PRP+vavalYu_va_PUR+lYigosAyrave_lYu_RIS
koVyyuvavalYigAyi koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyi_lYu_3SF
koVyyuvavalYigAyiyA koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiyA_lYu_INTR
koVyyuvavalYigAyiyU koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiyU_lYu_INCL
koVyyuvavalYigAyiyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiyo_lYu_DUB
koVyyuvavalYigAyiyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiyo_lYu_INDF
koVyyuvavalYigAyiyo koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiyo_lYu_PRES
koVyyuvavalYigAyiye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiye_lYu_IMPH
koVyyuvavalYigAyiye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiye_lYu_DECL
koVyyuvavalYigAyiye koVyyu(V13)+yuva_yu_PRP+vavalYu_va_BEN+lYigAyiye_lYu_RIS
