baMxanu baru(V16)+Mxa_ru_PAST+anu_a_3SM   
baruvavanigeVyA baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVyA_nu_INTR
baruvavanigeVyU baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVyU_nu_INCL
baruvavanigeVyo baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVyo_nu_DUB
baruvavanigeVyo baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVyo_nu_INDF
baruvavanigeVyo baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVyo_nu_PRES
baruvavanigeVye baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVye_nu_IMPH
baruvavanigeVye baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVye_nu_DECL
baruvavanigeVye baru(V16)+ruva_ru_PRP+vavanu_va_DAT+nigeVye_nu_RIS
baruvavaniMMxa  baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxa_nu_3SM
baruvavaniMMxalA baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxalA_nu_INTR
baruvavaniMMxalU baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxalU_nu_INCL
baruvavaniMMxalo baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxalo_nu_DUB
baruvavaniMMxalo baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxalo_nu_INDF
baruvavaniMMxalo baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxalo_nu_PRES
baruvavaniMMxale baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxale_nu_IMPH
baruvavaniMMxale baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxale_nu_DECL
baruvavaniMMxale baru(V16)+ruva_ru_PRP+vavanu_va_ABL+niMMxale_nu_RIS
baruvavana baru(V16)+ruva_ru_PRP+vavanu_va_GEN+na_nu_3SM
baruvavanalli baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalli_nu_3SM
baruvavanalliyA baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliyA_nu_INTR
baruvavanalliyU baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliyU_nu_INCL
baruvavanalliyo baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliyo_nu_DUB
baruvavanalliyo baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliyo_nu_INDF
baruvavanalliyo baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliyo_nu_PRES
baruvavanalliye baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliye_nu_IMPH
baruvavanalliye baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliye_nu_DECL
baruvavanalliye baru(V16)+ruva_ru_PRP+vavanu_va_LOC+nalliye_nu_RIS
baruvavanigoskara baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskara_nu_3SM
baruvavanigoskaravA baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskaravA_nu_INTR
baruvavanigoskaravU baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskaravU_nu_INCL
baruvavanigoskaravo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskaravo_nu_DUB
baruvavanigoskaravo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskaravo_nu_INDF
baruvavanigoskaravo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskaravo_nu_PRES
baruvavanigoskarave baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskarave_nu_IMPH
baruvavanigoskarave baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskarave_nu_DECL
baruvavanigoskarave baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigoskarave_nu_RIS
baruvavanigoskara baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskara_nu_3SM
baruvavanigoskaravA baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskaravA_nu_INTR
baruvavanigoskaravU baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskaravU_nu_INCL
baruvavanigoskaravo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskaravo_nu_DUB
baruvavanigoskaravo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskaravo_nu_INDF
baruvavanigoskaravo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskaravo_nu_PRES
baruvavanigoskarave baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskarave_nu_IMPH
baruvavanigoskarave baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskarave_nu_DECL
baruvavanigoskarave baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigoskarave_nu_RIS
baruvavanigAgi baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgi_nu_3SM
baruvavanigAgiyA baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiyA_nu_INTR
baruvavanigAgiyU baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiyU_nu_INCL
baruvavanigAgiyo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiyo_nu_DUB
baruvavanigAgiyo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiyo_nu_INDF
baruvavanigAgiyo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiyo_nu_PRES
baruvavanigAgiye baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiye_nu_IMPH
baruvavanigAgiye baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiye_nu_DECL
baruvavanigAgiye baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigAgiye_nu_RIS
baruvavanigAgi baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgi_nu_3SM
baruvavanigAgiyA baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiyA_nu_INTR
baruvavanigAgiyU baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiyU_nu_INCL
baruvavanigAgiyo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiyo_nu_DUB
baruvavanigAgiyo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiyo_nu_INDF
baruvavanigAgiyo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiyo_nu_PRES
baruvavanigAgiye baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiye_nu_IMPH
baruvavanigAgiye baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiye_nu_DECL
baruvavanigAgiye baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigAgiye_nu_RIS
baruvavanigosuga baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosuga_nu_3SM
baruvavanigosugavA baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugavA_nu_INTR
baruvavanigosugavU baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugavU_nu_INCL
baruvavanigosugavo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugavo_nu_DUB
baruvavanigosugavo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugavo_nu_INDF
baruvavanigosugavo baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugavo_nu_PRES
baruvavanigosugave baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugave_nu_IMPH
baruvavanigosugave baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugave_nu_DECL
baruvavanigosugave baru(V16)+ruva_ru_PRP+vavanu_va_BEN+nigosugave_nu_RIS
baruvavanigosuga baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosuga_nu_3SM
baruvavanigosugavA baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugavA_nu_INTR
baruvavanigosugavU baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugavU_nu_INCL
baruvavanigosugavo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugavo_nu_DUB
baruvavanigosugavo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugavo_nu_INDF
baruvavanigosugavo baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugavo_nu_PRES
baruvavanigosugave baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugave_nu_IMPH
baruvavanigosugave baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugave_nu_DECL
baruvavanigosugave baru(V16)+ruva_ru_PRP+vavanu_va_PUR+nigosugave_nu_RIS
baruvavanigiMwa baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwa_nu_3SM
baruvavanigiMwalA baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwalA_nu_INTR
baruvavanigiMwalU baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwalU_nu_INCL
baruvavanigiMwalo baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwalo_nu_DUB
baruvavanigiMwalo baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwalo_nu_INDF
baruvavanigiMwalo baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwalo_nu_PRES
baruvavanigiMwale baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwale_nu_IMPH
baruvavanigiMwale baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwale_nu_DECL
baruvavanigiMwale baru(V16)+ruva_ru_PRP+vavanu_va_COMP+nigiMwale_nu_RIS
baruvavanaMweV baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweV_nu_3SM
baruvavanaMweVyA baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVyA_nu_INTR
baruvavanaMweVyU baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVyU_nu_INCL
baruvavanaMweVyo baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVyo_nu_DUB
baruvavanaMweVyo baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVyo_nu_INDF
baruvavanaMweVyo baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVyo_nu_PRES
baruvavanaMweVye baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVye_nu_IMPH
baruvavanaMweVye baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVye_nu_DECL
baruvavanaMweVye baru(V16)+ruva_ru_PRP+vavanu_va_SIM+naMweVye_nu_RIS
baruvavanoVdaneV baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneV_nu_3SM
baruvavanoVdaneVyA baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVyA_nu_INTR
baruvavanoVdaneVyU baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVyU_nu_INCL
baruvavanoVdaneVyo baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVyo_nu_DUB
baruvavanoVdaneVyo baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVyo_nu_INDF
baruvavanoVdaneVyo baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVyo_nu_PRES
baruvavanoVdaneVye baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVye_nu_IMPH
baruvavanoVdaneVye baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVye_nu_DECL
baruvavanoVdaneVye baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVdaneVye_nu_RIS
baruvavanoVMxigeV baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeV_nu_3SM
baruvavanoVMxigeVyA baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVyA_nu_INTR
baruvavanoVMxigeVyU baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVyU_nu_INCL
baruvavanoVMxigeVyo baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVyo_nu_DUB
baruvavanoVMxigeVyo baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVyo_nu_INDF
baruvavanoVMxigeVyo baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVyo_nu_PRES
baruvavanoVMxigeVye baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVye_nu_IMPH
baruvavanoVMxigeVye baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVye_nu_DECL
baruvavanoVMxigeVye baru(V16)+ruva_ru_PRP+vavanu_va_SOC+noVMxigeVye_nu_RIS
baruvavalYannu baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYannu_lYu_3SF
baruvavalYannA baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYannA_lYu_INTR
baruvavalYannU baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYannU_lYu_INCL
baruvavalYanno baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYanno_lYu_DUB
baruvavalYanno baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYanno_lYu_INDF
baruvavalYanno baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYanno_lYu_PRES
baruvavalYanne baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYanne_lYu_IMPH
baruvavalYanne baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYanne_lYu_DECL
baruvavalYanne baru(V16)+ruva_ru_PRP+vavalYu_va_ACC+lYanne_lYu_RIS
baruvavalYiMMxa baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxa_lYu_3SF
baruvavalYiMMxalA baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxalA_lYu_INTR
baruvavalYiMMxalU baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxalU_lYu_INCL
baruvavalYiMMxalo baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxalo_lYu_DUB
baruvavalYiMMxalo baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxalo_lYu_INDF
baruvavalYiMMxalo baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxalo_lYu_PRES
baruvavalYiMMxale baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxale_lYu_IMPH
baruvavalYiMMxale baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxale_lYu_DECL
baruvavalYiMMxale baru(V16)+ruva_ru_PRP+vavalYu_va_INS+lYiMMxale_lYu_RIS
baruvavalYigeV baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeV_lYu_3SF
baruvavalYigeVyA baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVyA_lYu_INTR
baruvavalYigeVyU baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVyU_lYu_INCL
baruvavalYigeVyo baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVyo_lYu_DUB
baruvavalYigeVyo baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVyo_lYu_INDF
baruvavalYigeVyo baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVyo_lYu_PRES
baruvavalYigeVye baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVye_lYu_IMPH
baruvavalYigeVye baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVye_lYu_DECL
baruvavalYigeVye baru(V16)+ruva_ru_PRP+vavalYu_va_DAT+lYigeVye_lYu_RIS
baruvavalYiMMxa  baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxa_lYu_3SF
baruvavalYiMMxalA baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxalA_lYu_INTR
baruvavalYiMMxalU baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxalU_lYu_INCL
baruvavalYiMMxalo baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxalo_lYu_DUB
baruvavalYiMMxalo baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxalo_lYu_INDF
baruvavalYiMMxalo baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxalo_lYu_PRES
baruvavalYiMMxale baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxale_lYu_IMPH
baruvavalYiMMxale baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxale_lYu_DECL
baruvavalYiMMxale baru(V16)+ruva_ru_PRP+vavalYu_va_ABL+lYiMMxale_lYu_RIS
baruvavalYa baru(V16)+ruva_ru_PRP+vavalYu_va_GEN+lYa_lYu_3SF
baruvavalYalli baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalli_lYu_3SF
baruvavalYalliyA baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliyA_lYu_INTR
baruvavalYalliyU baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliyU_lYu_INCL
baruvavalYalliyo baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliyo_lYu_DUB
baruvavalYalliyo baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliyo_lYu_INDF
baruvavalYalliyo baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliyo_lYu_PRES
baruvavalYalliye baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliye_lYu_IMPH
baruvavalYalliye baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliye_lYu_DECL
baruvavalYalliye baru(V16)+ruva_ru_PRP+vavalYu_va_LOC+lYalliye_lYu_RIS
baruvavalYigoskara baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskara_lYu_3SF
baruvavalYigoskaravA baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskaravA_lYu_INTR
baruvavalYigoskaravU baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskaravU_lYu_INCL
baruvavalYigoskaravo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_DUB
baruvavalYigoskaravo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_INDF
baruvavalYigoskaravo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskaravo_lYu_PRES
baruvavalYigoskarave baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskarave_lYu_IMPH
baruvavalYigoskarave baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskarave_lYu_DECL
baruvavalYigoskarave baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigoskarave_lYu_RIS
baruvavalYigoskara baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskara_lYu_3SF
baruvavalYigoskaravA baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskaravA_lYu_INTR
baruvavalYigoskaravU baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskaravU_lYu_INCL
baruvavalYigoskaravo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_DUB
baruvavalYigoskaravo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_INDF
baruvavalYigoskaravo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskaravo_lYu_PRES
baruvavalYigoskarave baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskarave_lYu_IMPH
baruvavalYigoskarave baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskarave_lYu_DECL
baruvavalYigoskarave baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigoskarave_lYu_RIS
baruvavalYigAgi baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgi_lYu_3SF
baruvavalYigAgiyA baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiyA_lYu_INTR
baruvavalYigAgiyU baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiyU_lYu_INCL
baruvavalYigAgiyo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_DUB
baruvavalYigAgiyo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_INDF
baruvavalYigAgiyo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiyo_lYu_PRES
baruvavalYigAgiye baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiye_lYu_IMPH
baruvavalYigAgiye baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiye_lYu_DECL
baruvavalYigAgiye baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigAgiye_lYu_RIS
baruvavalYigAgi baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgi_lYu_3SF
baruvavalYigAgiyA baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiyA_lYu_INTR
baruvavalYigAgiyU baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiyU_lYu_INCL
baruvavalYigAgiyo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_DUB
baruvavalYigAgiyo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_INDF
baruvavalYigAgiyo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiyo_lYu_PRES
baruvavalYigAgiye baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiye_lYu_IMPH
baruvavalYigAgiye baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiye_lYu_DECL
baruvavalYigAgiye baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigAgiye_lYu_RIS
baruvavalYigosuga baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
baruvavalYigosugavA baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
baruvavalYigosugavU baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
baruvavalYigosugavo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
baruvavalYigosugavo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
baruvavalYigosugavo baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
baruvavalYigosugave baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
baruvavalYigosugave baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
baruvavalYigosugave baru(V16)+ruva_ru_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
baruvavalYigosuga baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
baruvavalYigosugavA baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
baruvavalYigosugavU baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
baruvavalYigosugavo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
baruvavalYigosugavo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
baruvavalYigosugavo baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
baruvavalYigosugave baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
baruvavalYigosugave baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
baruvavalYigosugave baru(V16)+ruva_ru_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
baruvavalYigiMwa baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
baruvavalYigiMwalA baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
baruvavalYigiMwalU baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
baruvavalYigiMwalo baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
baruvavalYigiMwalo baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
baruvavalYigiMwalo baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
baruvavalYigiMwale baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
baruvavalYigiMwale baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
baruvavalYigiMwale baru(V16)+ruva_ru_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
baruvavalYaMweV baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
baruvavalYaMweVyA baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
baruvavalYaMweVyU baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
baruvavalYaMweVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
baruvavalYaMweVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
baruvavalYaMweVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
baruvavalYaMweVye baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
baruvavalYaMweVye baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
baruvavalYaMweVye baru(V16)+ruva_ru_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
baruvavalYoVdaneV baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
baruvavalYoVdaneVyA baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
baruvavalYoVdaneVyU baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
baruvavalYoVdaneVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
baruvavalYoVdaneVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
baruvavalYoVdaneVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
baruvavalYoVdaneVye baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
baruvavalYoVdaneVye baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
baruvavalYoVdaneVye baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
baruvavalYoVMxigeV  baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
baruvavalYoVMxigeVyA baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
baruvavalYoVMxigeVyU baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
baruvavalYoVMxigeVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
baruvavalYoVMxigeVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
baruvavalYoVMxigeVyo baru(V16)+ruva_ru_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
